PIT #,LENGTH,WIDTH
3,135,134
3,121,127
3,127,129
2,143,137
2,139,141
3,137,133
3,129,132
3,136,143
3,128,136
3,123,129
3,131,135
3,142,144
3,123,119
3,121,133
3,134,147
3,117,104
3,137,145
3,129,135
3,139,141
91,138,123
91,132,136
91,105,118
91,135,141
91,108,125
91,98,108
77,127,126
77,119,126
77,112,114
77,134,140
77,121,137
77,135,143
77,126,143
77,128,133
77,124,131
77,131,138
77,117,121
67,133,137
67,130,137
67,126,129
61,129,141
61,147,145
67,119,124
67,133,138
67,129,138
67,143,147
61,123,132
61,127,138
67,139,146
67,147,152
17,120,134
57,124,137
60,131,139
60,128,136
60,127,136
17,126,136
60,130,138
60,122,129
17,139,141
13,135,141
13,105,109
13,126,134
13,125,134
13,127,133
13,132,141
13,135,130
13,125,130
13,129,138
13,126,140
4,139,146
4,142,145
4,107,115
4,132,138
4,125,136
4,126,120
4,130,139
4,132,139
4,138,143
4,134,143
4,123,133
4,127,133
4,131,137
4,128,139
4,130,138
4,133,137
4,119,127
4,126,131
4,116,128
4,127,139
