Pit,age,sd,source,age
10,9,,M&B,
81,11,,M&B,"10, 29"
2050,31,,M&B,
3,18.593,5.541,O'Keefe,"18, 20"
4,14.546,7.768,O'Keefe,14
9,26.427,17.178,O'Keefe,13
13,16.192,5.001,O'Keefe,
16,26.425,19.325,O'Keefe,"26, 35"
60,21.383,18.225,O'Keefe,23
61,11.581,3.768,O'Keefe,11
62,11.581,3.768,O'Keefe,11
63,11.581,3.768,O'Keefe,11
64,11.581,3.768,O'Keefe,11
65,11.581,3.768,O'Keefe,11
66,11.581,3.768,O'Keefe,11
67,11.581,3.768,O'Keefe,"11, 12"
77,35.37,0,O'Keefe,
91,29.068,18.367,O'Keefe,
2051,21.349,4.571,O'Keefe,
