PIT,L1,L2,L3,L4,L5,L6
1,49,60,35,23,37,29
1,44,51,31,21,38,26
2,45,53,30,21,37,29
2,43,51,31,20,37,27
2,45,54,30,21,40,27
2,45,50,32,21,37,27
2,45,53,30,22,40,27
2,46,54,33,20,41,31
2,47,53,31,21,41,28
2,44,52,32,21,38,27
2,46,52,33,20,40,29
2,44,50,30,20,38,27
2,43,50,30,20,35,28
2,46,60,35,23,41,28
2,44,50,31,21,32,27
2,46,56,35,22,45,29
2,45,47,32,20,39,29
2,44,50,30,19,34,26
2,45,52,35,25,42,31
2,40,50,31,18,36,24
2,44,50,31,22,36,26
2,41,49,29,19,38,24
3,41,52,32,20,37,26
3,43,51,34,20,34,28
3,41,52,33,20,36,25
3,45,52,32,22,36,26
3,41,49,32,22,38,26
3,44,51,34,23,40,28
3,41,52,34,22,40,27
3,41,51,33,25,41,27
3,44,54,32,21,40,29
3,44,50,34,23,39,28
3,42,53,32,21,39,26
3,45,50,31,19,37,26
3,46,54,32,21,40,28
3,45,53,34,21,41,29
3,44,51,33,23,40,30
3,42,51,30,20,36,26
3,42,51,33,24,36,26
3,43,49,33,23,42,28
3,45,51,34,22,41,28
3,44,52,31,19,37,28
3,45,54,34,23,37,29
3,44,49,31,19,36,25
3,44,53,34,23,40,27
3,44,52,33,22,41,29
3,44,51,31,19,35,26
3,43,54,36,24,42,28
3,44,49,31,20,37,26
3,43,37,29,20,37,27
3,45,53,32,23,41,28
3,42,51,32,21,38,25
3,40,48,31,18,37,26
3,39,48,30,19,35,26
3,43,52,30,19,38,28
3,44,51,33,21,35,28
3,41,48,31,22,37,29
3,44,54,32,24,41,27
3,51,57,36,24,44,30
3,44,51,32,21,35,26
3,39,49,31,16,35,25
3,44,53,32,22,44,24
3,45,52,33,26,43,28
3,45,53,34,22,40,30
3,43,57,35,23,30,26
3,43,51,33,23,44,30
3,43,51,34,22,39,26
3,45,52,33,22,38,28
3,44,54,32,23,39,26
3,43,53,33,21,40,27
3,46,50,30,19,37,28
3,44,53,34,21,40,30
3,44,50,31,22,40,27
3,42,48,26,18,35,25
3,43,54,32,23,40,26
3,45,53,35,25,42,31
3,40,50,32,21,38,25
3,45,52,32,22,38,26
3,42,50,32,23,35,26
3,48,54,37,22,42,29
3,47,56,33,21,43,30
3,43,53,34,22,45,28
3,41,46,30,17,38,26
3,42,50,33,25,38,28
3,43,49,32,22,36,25
3,38,45,29,22,35,25
3,43,50,30,20,37,24
3,42,50,31,20,38,26
3,44,49,32,20,39,27
3,43,49,33,21,38,28
3,43,50,31,19,39,25
3,39,51,31,21,37,26
3,44,53,33,21,43,29
3,41,49,29,19,38,24
3,41,51,33,24,40,25
3,44,58,36,24,41,31
3,43,54,34,21,46,30
3,42,52,31,23,39,28
3,42,51,32,22,40,28
3,39,47,28,19,33,24
3,42,56,33,26,41,26
3,44,51,33,23,41,27
3,42,49,31,17,34,25
3,47,50,32,22,39,28
3,40,49,31,18,34,24
3,43,52,34,24,40,27
3,42,53,34,22,40,28
3,41,46,28,20,32,23
3,43,50,33,20,40,28
3,42,52,31,25,41,27
3,42,54,34,23,45,28
3,47,51,34,27,42,34
3,45,54,33,24,40,29
3,42,51,30,18,35,28
3,41,47,32,22,37,26
3,43,49,29,20,33,25
3,43,47,32,22,35,27
3,42,51,32,22,26,36
3,39,46,31,21,33,27
3,39,44,27,21,33,27
3,46,54,32,25,36,30
3,43,49,33,22,35,26
9,41,48,29,22,38,25
9,43,52,29,21,39,25
13,45,50,31,20,35,25
13,45,54,34,25,42,39
13,44,50,30,20,36,28
13,43,49,30,18,33,25
13,44,52,32,23,37,25
13,45,52,33,21,41,28
13,41,49,27,22,39,24
13,41,45,30,24,35,25
13,49,54,36,24,44,31
13,43,51,33,21,42,29
13,47,54,34,24,43,28
13,49,58,37,23,41,30
13,44,49,32,20,37,26
13,43,48,31,18,38,24
13,41,49,30,22,36,26
13,44,51,32,23,38,26
13,44,49,31,21,35,30
13,41,48,30,19,32,26
13,46,55,35,23,42,30
13,43,51,31,19,34,25
13,41,51,31,22,35,25
13,43,48,31,20,39,25
13,41,47,31,21,36,25
13,43,51,32,21,36,26
13,46,50,33,22,40,28
13,43,50,32,21,37,27
13,47,54,34,20,40,30
13,49,56,34,22,39,30
13,44,47,29,20,39,25
13,46,48,33,23,40,29
13,49,55,34,23,40,28
13,42,47,31,23,40,27
13,46,53,33,23,44,28
13,46,52,32,23,41,31
13,47,53,35,23,42,33
13,43,49,29,19,36,25
13,46,53,32,22,36,27
13,46,52,33,21,40,29
13,40,43,26,20,33,23
13,43,48,31,20,38,26
13,49,54,32,23,44,32
13,42,56,33,24,42,30
13,42,47,28,19,31,23
13,43,53,35,22,42,31
13,43,52,33,23,37,27
13,47,51,32,23,40,29
13,45,50,31,20,35,28
13,44,52,34,20,37,26
13,44,47,32,24,36,29
13,45,51,33,25,40,30
13,46,53,33,21,36,28
17,43,53,33,23,36,27
17,40,50,29,22,33,27
17,47,54,34,22,40,28
17,41,49,32,22,35,27
57,43,53,34,23,43,27
57,45,54,35,26,40,29
60,46,57,34,22,40,30
60,44,54,32,23,38,26
60,44,51,31,21,37,26
60,44,51,33,21,35,28
60,44,50,31,19,37,26
60,40,48,29,18,36,24
60,45,53,30,21,37,26
60,42,53,32,22,40,27
60,42,47,31,20,37,24
60,42,52,29,20,36,28
60,43,52,33,22,36,25
60,43,51,31,19,37,26
60,46,54,32,21,36,26
60,41,48,30,19,37,26
60,41,46,30,18,34,25
60,45,49,31,22,36,25
60,42,47,29,20,36,26
60,46,52,34,18,36,27
60,39,43,28,20,33,23
60,42,48,29,20,38,27
60,47,54,35,22,42,30
60,42,52,30,21,40,28
60,42,49,30,21,34,23
60,43,48,30,20,35,23
60,39,47,30,20,34,26
60,43,53,34,22,42,26
60,43,48,29,20,38,26
60,40,47,29,20,34,27
60,42,50,30,21,32,22
60,41,50,28,23,32,22
61,47,51,31,28,40,29
61,44,52,32,22,40,29
61,40,49,30,22,37,25
61,42,50,32,22,39,26
61,44,51,33,21,37,27
61,44,53,31,21,38,28
61,47,55,32,23,38,29
61,44,51,31,22,38,27
61,43,49,32,23,40,27
61,45,50,31,26,39,26
61,43,52,31,20,38,27
61,43,54,30,22,40,26
61,44,51,31,20,37,28
61,43,51,33,23,38,29
61,42,52,29,19,38,26
61,48,56,34,23,42,31
61,44,50,32,20,37,26
61,47,55,35,24,43,28
61,41,49,29,22,35,25
61,41,50,32,22,37,26
61,46,52,31,22,38,27
61,43,50,31,24,37,25
61,43,50,28,19,37,25
61,40,50,29,24,38,25
61,43,51,34,24,40,27
61,43,51,32,21,37,27
