Pit #,Prox W,Prox APL,Midshaft W,Midshaft APL,Distal W,Distal APL,Max Length
3,95,50,38,35,83,77,380
3,103,49,36,33,85,78,392
3,104,50,38,33,79,71,390
3,100,53,43,36,83,80,378
3,94,49,35,32,77,70,359
3,97,51,37,32,77,71,377
3,96,48,33,31,80,76,368
3,94,51,37,34,82,76,370
3,96,46,33,32,77,74,374
3,97,51,38,33,87,84,381
3,96,48,36,34,80,72,362
3,105,55,39,37,83,76,381
3,89,47,32,30,75,69,340
3,103,51,34,35,80,74,395
3,92,48,36,31,76,71,340
3,102,55,40,39,86,76,372
3,98,49,37,32,82,76,366
3,87,46,35,31,75,67,349
3,95,50,35,31,78,74,351
3,96,50,35,33,76,73,364
3,94,44,34,31,76,69,372
3,101,52,38,34,82,76,371
3,97,43,36,32,79,70,352
3,90,48,36,32,78,74,375
3,93,50,36,30,81,69,363
3,100,49,36,34,80,77,385
3,99,52,39,35,83,78,388
3,85,44,32,29,71,69,330
3,97,54,37,35,81,74,389
3,98,51,38,35,80,72,380
3,103,47,38,33,78,76,382
3,89,47,33,29,71,75,348
3,97,49,35,32,80,69,372
3,98,52,38,35,83,78,376
3,92,48,34,30,75,73,362
3,100,46,38,33,81,74,368
3,90,50,36,32,77,71,372
3,100,53,37,33,84,79,380
3,87,45,32,30,71,69,339
3,91,48,33,31,81,75,358
3,92,51,37,34,83,80,367
3,93,50,35,32,79,70,378
3,81,44,32,30,74,70,338
3,95,50,36,33,79,73,354
3,101,51,37,33,82,79,400
3,98,50,38,34,84,76,378
3,94,48,34,32,78,74,370
3,95,49,41,34,78,73,366
3,96,45,36,32,79,76,376
3,91,48,35,31,75,70,360
4,93,51,34,30,78,76,357
4,95,49,36,32,76,73,356
4,95,48,34,32,77,75,350
4,94,51,34,31,75,70,357
4,90,48,35,30,76,72,339
4,94,52,34,30,80,75,367
4,91,50,35,30,76,73,337
4,94,46,36,31,78,75,350
4,95,50,37,31,76,77,357
4,91,50,34,32,72,76,363
4,92,49,34,31,80,73,345
4,89,48,37,32,74,73,347
4,91,46,34,32,77,72,367
4,92,44,35,28,74,74,367
4,84,42,30,27,67,66,325
4,96,49,38,32,78,76,350
4,86,48,31,28,74,69,324
4,88,46,33,28,70,67,328
4,90,48,34,30,70,69,349
4,82,48,33,29,72,65,323
4,99,50,35,33,80,70,360
4,98,53,38,33,85,80,361
4,90,46,38,32,76,78,360
4,85,45,31,28,70,66,349
4,89,50,35,34,77,72,367
4,92,47,37,33,76,77,357
4,94,50,38,33,77,73,352
4,93,53,37,31,79,77,338
4,92,50,37,32,76,63,336
4,90,46,35,30,80,73,330
4,88,46,34,30,72,63,346
4,102,56,37,36,83,75,381
4,92,46,35,32,80,70,362
4,95,46,36,32,77,65,355
4,88,45,32,30,74,71,365
4,91,46,33,30,76,70,351
4,103,50,38,33,82,77,381
4,101,53,38,35,83,80,378
4,96,52,41,34,83,78,373
4,96,47,36,32,82,81,356
4,98,51,38,33,82,80,366
4,96,47,38,30,80,77,353
4,94,48,37,31,75,73,339
4,94,50,37,34,77,74,357
4,96,49,34,31,81,76,369
4,91,46,36,30,79,76,334
4,87,44,35,30,73,70,328
4,89,46,34,30,68,70,343
4,95,47,34,30,77,73,340
4,91,48,34,30,77,71,348
4,88,45,35,31,77,71,326
4,88,43,36,31,75,74,353
4,91,45,33,30,78,70,347
4,89,45,35,31,76,70,329
4,87,44,35,31,75,72,354
4,96,47,34,32,80,74,376
4,97,47,34,32,77,73,367
4,93,51,36,33,80,72,356
4,92,45,34,32,74,71,337
4,92,52,36,31,80,73,342
4,90,45,34,30,70,69,344
4,94,51,36,33,78,75,353
4,92,46,35,30,77,72,355
4,92,45,35,29,76,74,360
4,100,55,35,36,83,77,376
4,93,49,37,34,77,80,361
4,94,48,35,32,78,80,352
4,94,50,35,32,80,76,367
4,94,52,36,31,80,75,369
4,85,47,36,33,75,71,338
4,104,53,39,35,86,76,372
4,89,47,34,31,74,70,330
4,98,51,38,32,76,75,356
4,93,46,35,32,78,71,360
4,86,44,30,27,68,64,345
4,91,49,36,32,76,70,358
13,95,45,35,32,77,71,378
13,102,49,37,31,75,71,366
13,99,48,36,34,79,72,372
13,97,51,38,34,81,70,362
13,90,49,35,30,77,67,348
13,89,45,32,28,75,63,339
13,90,42,33,29,72,66,332
