PIT,LENGTH,MIDSHW,MIDSHD,DISTW
3,104,19,17,29
3,100,18,14,29
3,95,19,16,27
3,96,19,16,27
3,94,19,16,27
3,102,18,16,28
3,93,17,14,26
3,98,20,14,28
3,91,18,14,25
3,96,19,16,27
3,92,18,16,25
3,99,18,15,27
3,90,16,14,24
3,93,17,13,25
3,84,16,13,24
3,88,15,14,23
3,95,15,12,23
3,89,18,15,25
3,100,15,13,25
3,90,16,13,23
3,93,17,14,24
3,97,17,13,25
3,95,17,13,27
3,103,17,15,27
3,97,17,14,27
3,99,19,16,26
3,94,19,16,25
3,99,18,15,27
3,102,18,13,26
3,99,19,16,26
3,97,17,13,25
3,99,17,14,26
3,98,18,15,27
3,93,17,13,25
3,94,17,15,26
3,94,18,14,25
3,95,17,14,26
3,92,17,14,25
3,86,15,13,23
3,90,14,12,23
3,102,17,15,27
3,103,17,14,25
3,97,17,14,27
3,98,18,14,27
3,95,17,13,24
3,94,17,15,25
3,93,15,13,24
3,95,18,14,26
3,96,18,15,27
3,105,19,15,28
3,101,18,15,27
3,101,16,14,25
3,97,17,14,25
3,100,17,15,26
3,98,17,14,25
3,88,15,12,22
3,92,17,15,24
3,95,17,14,26
3,90,17,13,26
3,96,18,13,24
3,93,18,14,27
3,105,20,16,20
13,94,16,12,23
13,95,16,12,24
13,99,17,15,25
13,98,16,14,26
13,95,16,14,23
13,98,16,13,14
13,96,16,14,23
13,88,15,13,22
13,98,17,13,25
13,100,15,14,25
13,94,17,14,24
13,93,17,13,25
13,95,15,13,24
13,97,15,13,24
13,109,18,15,25
13,92,17,14,23
13,102,19,15,27
13,100,16,13,26
13,98,16,14,25
13,100,15,13,25
13,90,16,14,22
13,92,15,14,24
13,94,15,13,23
13,94,15,13,23
13,93,15,12,23
13,94,14,13,24
13,90,16,13,25
13,94,15,12,22
13,90,14,13,24
13,110,18,15,26
13,100,18,15,26
13,98,17,14,24
13,95,17,14,24
13,93,13,12,22
13,93,13,12,23
13,93,16,14,24
13,91,16,12,24
13,95,15,13,23
13,106,16,13,26
13,102,17,13,26
13,93,16,14,23
13,97,19,15,25
17,97,18,16,25
60,96,16,15,23
60,94,17,14,26
60,98,18,16,26
60,87,15,13,23
60,84,15,14,23
60,92,17,14,23
60,93,17,14,25
60,92,16,13,25
60,96,17,15,24
60,103,17,16,27
60,93,17,13,25
60,93,17,15,24
60,91,15,14,23
60,90,15,13,23
60,92,16,14,24
60,89,17,13,26
60,89,15,12,24
60,98,16,13,26
60,90,16,14,23
60,88,16,14,23
60,115,19,15,28
60,103,21,16,19
60,101,18,14,27
60,100,18,14,26
67,103,18,14,26
67,102,19,14,27
67,99,18,16,26
67,105,19,17,27
67,104,17,14,26
67,105,19,15,29
67,99,17,13,25
67,95,15,14,23
67,97,17,14,25
67,91,17,14,24
67,95,17,14,26
67,90,16,13,24
67,97,18,15,26
67,99,19,15,27
67,102,19,16,28
67,96,17,13,26
67,97,17,13,25
67,97,17,13,25
67,95,16,14,24
67,97,17,14,25
67,90,14,12,23
67,107,17,15,26
67,96,17,14,23
67,93,15,13,24
67,92,16,13,24
67,93,16,14,25
67,86,15,13,23
67,99,18,15,26
67,100,20,14,27
67,97,17,14,26
67,104,17,14,26
67,97,17,15,26
67,94,17,15,28
67,98,19,15,26
67,99,18,14,26
67,105,17,14,26
67,102,17,13,27
67,92,17,14,26
67,97,17,14,26
67,97,17,14,24
67,94,17,14,25
67,97,17,14,25
67,92,17,15,23
67,94,18,13,26
67,101,20,15,27
67,98,18,14,27
67,93,16,13,25
67,95,17,15,24
67,98,18,15,27
67,97,18,15,24
67,96,17,14,26
67,96,16,13,26
67,94,17,14,25
67,99,19,14,26
67,95,17,14,25
67,93,16,13,24
67,98,18,15,25
67,98,17,14,25
67,90,17,14,24
67,84,16,14,24
67,97,19,15,29
67,97,19,16,26
67,104,17,14,26
67,101,21,14,26
67,98,19,16,28
67,94,18,15,25
67,98,16,13,23
67,98,16,14,26
67,102,17,14,27
67,98,16,14,25
67,97,17,14,25
67,93,17,14,24
67,101,18,13,26
67,98,16,15,27
67,98,18,15,26
67,102,18,14,26
67,100,16,13,25
67,97,18,16,25
67,91,16,14,25
67,90,16,13,25
67,90,16,13,24
67,92,17,14,25
77,94,17,15,25
77,92,17,14,26
77,99,17,15,26
77,90,15,13,24
77,86,16,14,22
77,90,15,12,23
77,93,15,14,25
77,90,15,13,22
77,94,16,14,24
77,91,16,14,22
77,99,15,14,24
77,92,16,13,23
77,95,15,13,23
77,92,16,14,25
77,87,16,12,24
77,89,15,13,23
77,94,17,14,26
77,90,16,13,24
77,96,16,14,26
77,94,17,14,24
77,95,17,14,26
77,98,17,16,25
77,94,17,15,25
77,95,17,15,24
77,94,17,15,26
77,96,17,15,25
77,93,16,13,23
77,93,16,15,25
77,99,16,13,24
77,88,16,14,24
77,86,16,13,23
77,87,16,13,22
77,90,17,14,25
77,87,16,14,25
77,91,18,16,25
77,87,15,13,22
77,99,18,15,26
77,90,14,12,21
77,84,15,12,23
77,97,18,15,26
77,94,16,14,24
77,96,17,14,24
77,91,16,14,24
77,85,15,13,22
77,85,17,14,23
77,90,18,14,24
77,90,17,15,25
77,96,16,14,24
77,96,16,15,23
77,90,17,14,23
77,93,17,15,25
77,98,16,14,26
77,96,17,14,24
77,80,14,13,22
77,87,16,13,24
77,85,16,13,22
77,92,16,13,24
77,89,16,13,23
77,93,17,15,24
77,92,16,14,24
77,92,16,14,25
9,109,18,15,27
9,95,16,14,26
9,102,17,16,26
9,91,17,14,26
