AGE,LENGTH,WIDTH,DEPTH,AREA,ROBUSTNESS
9,96.1,14.4,12,172.8,1.7981269511
11,93.5,14.3,13.2,188.76,2.0188235294
11,100,16,13.1,209.6,2.096
11,96.7,15.2,11.1,168.72,1.7447776629
11,85.1,14.4,12.7,182.88,2.1490011751
11,84.3,13.3,11.5,152.95,1.8143534994
11,88.2,15.1,12.4,187.24,2.1229024943
11,96.9,14.2,11.9,168.98,1.7438596491
11,83.2,14.5,12.6,182.7,2.1959134615
11,91.7,14.2,13,184.6,2.0130861505
11,95.6,14.9,12.8,190.72,1.9949790795
11,101.1,13.4,11.6,155.44,1.537487636
11,91.9,12.8,11.9,152.32,1.6574537541
11,93.1,15.1,12.7,191.77,2.0598281418
11,89.5,14.1,11.6,163.56,1.8274860335
11,89.3,13.6,11.6,157.76,1.7666293393
11,88,13,10.9,141.7,1.6102272727
11,85.8,15.6,14,218.4,2.5454545455
14,85,14,12,168,1.9764705882
14,86.2,12.5,10.8,135,1.56612529
14,80.1,13.5,12.2,164.7,2.0561797753
14,78.5,14.5,11.4,165.3,2.1057324841
14,83.2,14.3,11.8,168.74,2.028125
14,88.7,13.7,12,164.4,1.8534385569
14,89.4,13.9,11.5,159.85,1.7880313199
14,86.4,15.6,12,187.2,2.1666666667
14,90,13.9,11.5,159.85,1.7761111111
14,90,15.4,12,184.8,2.0533333333
14,81.6,13,12,156,1.9117647059
14,83.1,14.6,10.7,156.22,1.8799037304
14,83.8,13.8,11.1,153.18,1.8279236277
14,89.5,14.1,11.9,167.79,1.8747486034
16,85,13.5,10.4,140.4,1.6517647059
16,90.7,15.2,12.6,191.52,2.1115766262
16,95.7,14.3,12.2,174.46,1.8229885057
16,91.6,15,12.9,193.5,2.1124454148
18,90,14.3,12.3,175.89,1.9543333333
18,89,14.7,13,191.1,2.1471910112
18,86.6,13.3,13.1,174.23,2.0118937644
18,85.7,13.1,11,144.1,1.6814469078
18,84,14.6,11.6,169.36,2.0161904762
18,89.6,13.6,12.1,164.56,1.8366071429
18,88.9,13,10.4,135.2,1.5208098988
18,88.2,14.7,11.6,170.52,1.9333333333
18,89.2,13.3,11.8,156.94,1.7594170404
18,92.2,15,11.7,175.5,1.9034707158
18,92.5,14.7,11.9,174.93,1.8911351351
18,83.9,14,12.3,172.2,2.052443385
18,83.2,13,11.2,145.6,1.75
18,84.6,15.6,12.1,188.76,2.2312056738
18,92.1,14.6,11.9,173.74,1.8864277959
18,88.8,15,11.5,172.5,1.9425675676
18,88.4,13.9,10.9,151.51,1.7139140271
21,86.7,13.6,12.8,174.08,2.0078431373
21,86.6,12.7,12.4,157.48,1.8184757506
21,93.9,15.6,12.2,190.32,2.0268370607
21,93.5,13.8,11.4,157.32,1.6825668449
21,87.7,14,11.7,163.8,1.8677309008
21,94,15,12.1,181.5,1.9308510638
37,87,14.1,11.6,163.56,1.88
37,87.7,14.6,13.2,192.72,2.1974914481
37,94.2,15.5,11.7,181.35,1.9251592357
37,88.7,13.1,11.6,151.96,1.7131905299
