#,Pit #,Length,Width,Depth
y701,91,85.1,49,40.7
Y712,81,79,53.9,38.6
Y950,81,82.1,47.5,40.8
Y962,81,73.4,41.6,37.7
Y715,77,83.1,52.6,43.4
Y699,77,80.8,52.9,43.6
Y765,77,77.3,49.1,42.4
Y679,77,82.8,53.7,44.5
Y794,77,89.5,57.5,47.6
Y790,77,83.9,50.7,43.6
Y686,77,84.2,53.5,49.8
Y795,77,69.4,49.2,38.7
Y823,77,71.9,44.2,40.3
Z1665,77,73.5,41.3,36.3
Y839,77,68.5,39.9,34.2
Y760,77,94.7,56.3,50.4
Y769,77,87.9,58.6,49.9
Y759,77,83.5,55.2,46.9
Y703,77,85.3,55.7,46.8
Y675,77,82.7,50.9,44.7
Y713,77,91.9,59.4,48.6
Y665,77,88.8,55.1,47.7
Y691,77,84.2,54.3,47
Y672,77,85.1,53.2,45.6
Y709,77,77.5,46.1,37.8
Y693,77,73,40.2,37
Y901,77,84.2,56.4,48.3
Y926,77,83.7,54.8,43.8
Y953,77,85.9,54.7,48
Y858,77,83.4,50.8,45.2
Y927,77,83.9,53.5,48.2
Y898,67,81.3,48.6,43.9
Y774,67,89.9,54.1,49.2
Y697,67,89.7,53.7,52.1
Y780,67,92,54.4,50.6
Y690,67,90.4,56.5,49.2
Y750,67,81.9,49.2,43.7
Y702,67,83.3,54.8,43.5
Y725,67,82.7,53.5,48.5
Y728,67,91.3,59,50.7
Y657,67,86.3,56.6,46.7
Y896,67,79.2,49.4,42.7
Y869,67,82.1,48.1,46.6
Y813,67,85.9,50.7,46.7
Y861,67,86.9,54,48.9
Y978,67,80.1,54.6,43.9
Y921,67,80,50.4,43.3
Y968,67,83.2,48.4,43.9
Y906,67,82.2,51.3,43.9
Y884,67,84.1,53.9,46.4
Y924,67,88.7,58.1,50.2
Y909,67,81.1,51.5,44.3
Y878,67,88,55.4,48.8
Y663,61,84.9,51.3,45.1
Y776,61,96.4,59.4,52
Y708,61,85.9,50.4,47.1
Y751,61,90.3,57.2,50.6
Y900,61,87.8,56.1,49.5
Y868,61,84.5,53.3,45.4
Y863,61,88.2,52.9,49.9
Y865,61,83.6,49.4,46.5
Y881,61,88.1,55.8,48.4
Y888,61,83.1,51.9,46.2
Y979,61,78.2,51.2,42.8
Y904,61,79.5,46.2,45.1
Y873,61,93.6,57.3,49.8
Y683,17,83.9,51.8,46.3
Y783,17,77.3,47.6,42.4
Y853,60,84,55.5,49.5
Y794,60,83.4,42.4,42.3
Y811,60,83.5,55.2,47.9
Y787,60,89.1,58.8,49.5
Y848,16,85.5,50.7,45.8
Y851,16,86.9,58.2,49.9
Y850,16,86.9,53,46.2
Y312,16,85.6,56.2,45.6
Y807,16,89.1,57,49.3
Y314,16,85.3,56.7,46.7
Y756,13,79.8,50,42
Y706,13,84.4,52.8,43.3
Y714,13,84.5,52.5,45.7
Y684,13,83.4,48,46.8
Y766,13,95.7,57,49.8
Y777,13,84.9,53.3,45.3
Y723,13,83.9,49.2,44.8
Y764,13,88.5,52.3,48.6
Y726,13,90.7,56.4,49.2
Y743,13,93.8,52.6,47.4
Y946,13,93.7,57.4,48.6
Y908,13,85,49.8,42.8
Y842,13,83.2,54.5,45.7
Y980,13,91.1,54.4,47.5
Y879,13,85.5,51.2,46.9
Y886,13,90.1,47.3,43.7
Y818,13,83.2,53.4,43.8
,,,,
,Mean,84.59473684,52.48,45.76315789
,SD,5.33667297,4.279754417,3.635084729
,CV,6.308516545,8.15501985,7.943255877
,VAR,28.48007839,18.31629787,13.21384099
