PIT,calc.tuber
3,127
3,126
3,123
3,133
3,129
3,125
3,119
3,123
3,120
3,117
3,130
3,132
3,123
3,126
3,125
3,123
3,131
3,124
3,124
3,128
3,135
3,123
3,129
3,130
3,135
3,125
3,124
3,125
3,127
3,127
3,125
3,125
3,129
3,132
3,125
3,117
3,112
9,118
13,125
13,120
13,119
13,137
13,124
13,139
13,125
13,123
13,122
13,125
60,122
61,129
61,139
61,125
61,118
61,117
67,126
61,131
61,126
77,135
77,115
77,131
77,137
77,122
77,124
77,121
77,116
77,118
77,116
