Species,Cat #,Bone,L or R,Pit #,Age,Max Length,Condyle Width,Facet Width,Min D @ Epiphysis
B. antiquus,LACMHC 67049,Metacarpal,R,81,10,229,84,81,32
B. antiquus,LACMHC 67050,Metacarpal,R,81,10,227,83,78,32
B. antiquus,Y2511,Metacarpal,L,61,11,226,80,76,32
B. antiquus,Y5505,Metacarpal,L,61,11,216,82,79,33
B. antiquus,Y5499,Metacarpal,L ,61,11,213,80,75,35
B. antiquus,LACMHC 23969,Metacarpal,L,61,11,214,77,73,31
B. antiquus,LACMHC 23970,Metacarpal,L,61,11,219,77,73,32
B. antiquus,Y5485,Metacarpal,L,61,11,213,80,76,34
B. antiquus,Y5486,Metacarpal,L,61,11,226,87,80,37
B. antiquus,Y2457,Metacarpal,R,61,11,213,86,83,37
B. antiquus,Y2413,Metacarpal,R,61,11,218,77,73,34
B. antiquus,Y2421,Metacarpal,R,67,11,225,89,84,34
B. antiquus,Y2432,Metacarpal,R,67,11,214,81,79,34
B. antiquus,LACMHC 23974,Metacarpal,R,67,11,221,77,70,34
B. antiquus,LACMHC 23973,Metacarpal,L,67,11,218,82,79,39
B. antiquus,Y2580,Metacarpal,L,67,11,216,77,74,35
B. antiquus,Y5503,Metacarpal,L,67,11,229,90,82,39
B. antiquus,Y5492,Metacarpal,L,4,14,231,82,77,34
B. antiquus,Y5501,Metacarpal,L,4,14,212,81,76,33
B. antiquus,Y5508,Metacarpal,L,4,14,230,78,77,34
B. antiquus,Y2500,Metacarpal,L,4,14,211,82,76,32
B. antiquus,Y2516,Metacarpal,L,4,14,226,82,77,30
B. antiquus,Y2509,Metacarpal,L,4,14,224,82,77,32
B. antiquus,Y2508,Metacarpal,L,4,14,226,77,74,33
B. antiquus,Y2523,Metacarpal,L,4,14,214,77,71,35
B. antiquus,Y2507,Metacarpal,L,4,14,217,80,77,32
B. antiquus,Y5509,Metacarpal,L,4,14,223,83,80,37
B. antiquus,LACMHC 23965,Metacarpal,L,4,14,224,84,81,35
B. antiquus,Y2514,Metacarpal,L,4,14,216,79,77,32
B. antiquus,Y5496,Metacarpal,L,4,14,220,78,71,31
B. antiquus,Y2506,Metacarpal,L,4,14,231,82,79,35
B. antiquus,Y2435,Metacarpal,R,4,14,220,80,78,33
B. antiquus,Y2418,Metacarpal,R,4,14,219,78,76,30
B. antiquus,Y2442,Metacarpal,R,4,14,226,76,71,34
B. antiquus,Y2419,Metacarpal,R,4,14,231,80,73,33
B. antiquus,Y2414,Metacarpal,R,4,14,212,70,71,32
B. antiquus,Y2404,Metacarpal,R,4,14,234,80,79,36
B. antiquus,Y2406,Metacarpal,R,4,14,217,83,77,32
B. antiquus,Y2423,Metacarpal,R,4,14,229,84,84,40
B. antiquus,LACMHC 23966,Metacarpal,R,4,14,215,77,75,35
B. antiquus,Y2437,Metacarpal,R,4,14,228,83,78,36
B. antiquus,Y2453,Metacarpal,R,4,14,228,81,78,33
B. antiquus,Y2455,Metacarpal,R,4,14,228,84,79,35
B. antiquus,Y2410,Metacarpal,R,4,14,219,74,70,33
B. antiquus,Y2422,Metacarpal,R,4,14,214,78,76,36
B. antiquus,Y2445,Metacarpal,R,4,14,225,81,78,34
B. antiquus,Y2452,Metacarpal,R,4,14,228,85,80,42
B. antiquus,LACMHC 23967,Metacarpal,L,13,16,229,86,75,33
B. antiquus,Y5502,Metacarpal,L,13,16,227,79,76,35
B. antiquus,Y5506,Metacarpal,L,13,16,226,89,81,39
B. antiquus,Y2417,Metacarpal,R,13,16,240,80,78,33
B. antiquus,Y2440,Metacarpal,R,13,16,228,94,84,35
B. antiquus,Y2425,Metacarpal,R,13,16,219,79,74,33
B. antiquus,Y2431,Metacarpal,R,13,16,224,79,75,35
B. antiquus,Y5504,Metacarpal,L,36,16,225,84,75,35
B. antiquus,LACMHC 23958,Metacarpal,L,3,18,221,93,88,35
B. antiquus,Y5488,Metacarpal,L,3,18,218,93,87,33
B. antiquus,Y5508,Metacarpal,L,3,18,232,79,83,37
B. antiquus,Y5494,Metacarpal,L,3,18,218,90,83,33
B. antiquus,Y5493,Metacarpal,L,3,18,223,83,76,33
B. antiquus,Y5489,Metacarpal,L,3,18,244,83,79,34
B. antiquus,Y5500,Metacarpal,L,3,18,223,82,76,29
B. antiquus,LACMHC 23959,Metacarpal,L,3,18,219,80,74,32
B. antiquus,Y2522,Metacarpal,L,3,18,211,75,71,32
B. antiquus,Y2521,Metacarpal,L,3,18,218,82,78,34
B. antiquus,Y2510,Metacarpal,L,3,18,214,79,73,32
