Pit,Max Length,Condyle Width,Facet Width,Min Depth
61,274,74,61,39
61,267,79,63,41.5
61,274,74,60,36.8
61,285,81,69,42.2
67,266,74,65,35
67,261,69,58,35
67,272,74,63,37
67,270,78,63,38
67,260,69,56,36
67,262,67,54,34
4,260,67,55,38
4,264,77,65,40.3
4,279,80,60,42
4,278,79,68,41
4,281,76,61,40.9
4,262,71,59,35.2
4,274,79,72,40.1
4,266,70,59,34.4
4,278,82,68,38.3
4,265,70,59,35.6
4,274,78,67,37.1
4,264,70,60,37
4,284,76,60,38
4,262,71,58,35
4,269,75,60,34
4,284,75,62,37
4,278,74,62,36
4,280,75,65,39.3
4,264,72,61,36
4,280,76,61,39
13,271,70,60,39
13,282,82,68,46
13,263,71,59,34
13,274,72,60,42.6
13,272,71,58,36.9
13,269,68,58,39.8
13,286,79,66,39.4
3,275,72,63,37
3,274,81,75,37
3,266,71,62,37
3,265,73,64,36
3,278,77,64,36
3,256,68,57,33
3,276,74,60,35
3,277,71,62,37.5
3,271,73,57,37
3,272,76,63,37
3,280,71,61,36
3,276,78,63,39
3,275,74,61,35
3,274,81,73,38
3,275,75,61,39
3,271,73,57,36
3,272,74,62,37
3,280,80,66,40
3,271,73,58,35
3,270,72,62,34
3,274,80,67,37
3,270,73,57,35
3,275,71,60,37
3,277,77,64,37
3,279,82,70,37
3,271,71,61,35
3,261,74,61,34
3,279,74,60,36
3,267,73,60,36
3,267,74,61,36
3,284,78,65,40
3,274,85,70,41
3,271,73,68,36
3,261,70,61,36
3,266,73,63,34
3,279,77,63,36
3,273,71,62,37
3,273,71,62,36
3,293,84,65,37
60,273,71,57,39.9
60,265,72,63,39.6
60,278,71,61,39.1
60,286,85,73,48.2
60,265,72,60,40.9
60,271,75,59,41.1
16,281,72,63,39.2
16,281,74,66,43.4
16,269,68,59,36.2
77,273,71,58,35
77,263,68,57,34
77,264,70,53,35
77,274,70,57,34
77,276,71,60,36
77,274,70,56,35
