pit,length,width,depth,length2
3,,38.5,23.5,61
3,123.4,42,23.6,108.5
3,153.9,55.8,27.1,88
3,152.8,56,28.8,56
3,117.2,41.2,29.5,66
3,128.2,43.3,22.3,55.6
3,115.4,37.9,26.7,59.5
3,116.9,40,25.6,86.8
3,150.1,56.5,29.5,70
4,170,54,30.5,110.3
4,163,59.9,29.9,86
4,178.1,60.7,29.4,107.2
4,164.5,54.4,30.5,100.65
4,115.4,54.2,30.2,51.5
4,107.3,36.4,23.9,102.5
9,142.9,50,23.5,
9,140,47.6,24.1,
9,142.5,50.8,25.5,91.1
9,,51.8,23.5,87.6
9,,45.9,26.1,92.5
9,,46.2,21.5,89.5
9,,44.1,22.7,85.2
9,,52.1,25.1,106.6
13,116.4,36.6,22.7,103.2
13,160,46.8,29.2,106.9
13,169,53.4,30.3,103.9
16,154,54.8,27.2,107.6
16,153.8,54,26.2,
60,168,56,27.3,69.5
61,115.3,36,27,56.1
61,113.3,42.8,27.5,70
61,127.8,50,25.5,74
61,137,48,28.2,53.5
61,105.9,37,23.6,58.7
61,105.2,37.5,24.5,56
67,130,67.5,27.5,60.9
67,122.8,45.2,25.7,62.3
67,120.2,41,24.1,71
67,134.8,45.2,27.5,60.3
67,120.5,38.7,24.2,99.2
67,152.5,51,29.5,104.4
77,131.2,44,28,61
77,121.2,42,29.5,97.2
78,153.4,52,31.5,56.2
,140.5,48.5,25.1,
,,50.5,27.1,95.3
,138.8,46.8,25,91.2
,147.3,51.3,23.6,92
,139.5,50,25.5,86.9
,,44.4,25.5,57.5
,,55.9,30,102.3
