"Character","Age.ka","N","Mean","SD","CV"
"LENGTH","37",4,85.7,4.58144,18.70591
"LENGTH","29",2,85.1,2.08597,40.79637
"LENGTH","18",9,84.9,2.12868,39.88387
"LENGTH","16",2,87.4,5.94677,14.69705
"LENGTH","14",8,86.5,1.42563,60.67493
"LENGTH","11",4,85,2.90269,29.28318
"LENGTH","9",49,86.4,2.64388,32.67924
"LENGTH","0",10,87.5,1.68091,52.05514
"WIDTH","37",4,8.2,0.58054,14.12478
"WIDTH","29",2,8,0.24749,32.32454
"WIDTH","18",9,7.6,0.62301,12.19884
"WIDTH","16",2,7.1,0.78489,9.04585
"WIDTH","14",8,7.9,1.35262,5.84052
"WIDTH","11",4,7.7,1.02883,7.48423
"WIDTH","9",49,7.9,0.90749,8.70533
"WIDTH","0",10,7.7,0.53385,14.42353
"ROBUSTNESS","37",4,0.6,0.074,8.10811
"ROBUSTNESS","29",2,0.6,0.0221,27.14932
"ROBUSTNESS","18",9,0.5,0.08174,6.11696
"ROBUSTNESS","16",2,0.5,0.06939,7.20565
"ROBUSTNESS","14",8,0.6,0.1864,3.21888
"ROBUSTNESS","11",4,0.6,0.13301,4.51094
"ROBUSTNESS","9",49,0.6,0.12472,4.81078
"ROBUSTNESS","0",10,0.5,0.07244,6.90226
