"Character","Age.ka","N","Mean","SD","CV"
"LENGTH","37",3,64.9,1.90788,34.01681
"LENGTH","27",63,66,2.67263,24.69478
"LENGTH","18",26,66.2,2.01496,32.85425
"LENGTH","16",1,63.1,NA,NA
"LENGTH","14",18,66.1,2.67032,24.75359
"LENGTH","11",18,67.2,2.74065,24.51973
"LENGTH","9",58,65.8,3.07908,21.37002
"LENGTH","0",12,66.2,2.7047,24.47591
"WIDTH","37",3,5.3,0.45826,11.56549
"WIDTH","27",63,5.4,0.58523,9.22714
"WIDTH","18",26,5.2,0.38256,13.59264
"WIDTH","16",1,4.4,NA,NA
"WIDTH","14",18,5.2,0.50759,10.24449
"WIDTH","11",18,5.4,0.57238,9.43429
"WIDTH","9",58,4.9,0.59424,8.24583
"WIDTH","0",12,5.8,0.5893,9.84219
"ROBUSTNESS","37",3,0.3,0.04973,6.03258
"ROBUSTNESS","27",63,0.3,0.06776,4.42739
"ROBUSTNESS","18",26,0.3,0.04861,6.17157
"ROBUSTNESS","16",1,0.2,NA,NA
"ROBUSTNESS","14",18,0.3,0.06024,4.98008
"ROBUSTNESS","11",18,0.3,0.06582,4.55789
"ROBUSTNESS","9",58,0.3,0.06698,4.47895
"ROBUSTNESS","0",12,0.4,0.08549,4.67891
