PIT #,LENGTH,PROX.W,PROX.D,PROX.A,MID.W,MID.D,MID.A,DIST.W,DIST.D,DIST.A
2,88.78,14.31,7.31,104.6061,4.91,3.89,19.0999,13.86,8.87,122.9382
3,86.58,12.86,7.28,93.6208,5.18,4.9,25.382,14.6,9.52,138.992
3,86.7,14.3,7.16,102.388,5,4.29,21.45,13.99,8.19,114.5781
3,88.13,13.65,7.13,97.3245,5.25,4.39,23.0475,14.17,8.22,116.4774
3,88.58,14.4,8.03,115.632,5.99,5.34,31.9866,14.96,9.45,141.372
3,85.82,15.22,7.8,118.716,5.78,5.15,29.767,14.73,9.9,145.827
3,85.67,13.57,7.29,98.9253,5.5,4.07,22.385,13.68,8.53,116.6904
3,81.77,13.1,7.58,99.298,5.43,4.74,25.7382,13.47,8.72,117.4584
3,87.66,14.91,7.64,113.9124,5.7,4.95,28.215,14.74,9.23,136.0502
3,87.64,13.46,7.36,99.0656,5.18,4.01,20.7718,14.24,7.93,112.9232
3,90.11,14.75,7.43,109.5925,5.26,4.09,21.5134,13.99,8.95,125.2105
3,86.43,13.33,6.97,92.9101,5.33,4.1,21.853,14.25,8.22,117.135
3,86.68,13.03,7.58,98.7674,5.66,4.09,23.1494,13.13,9.01,118.3013
3,86.28,13.05,6.76,88.218,5.23,3.94,20.6062,12.43,6.86,85.2698
3,87.52,12.77,6.18,78.9186,5,5,25,13.56,9.33,126.5148
3,92.63,13.54,8.12,109.9448,5.06,4.33,21.9098,13.57,8.7,118.059
3,93.44,13.75,7.53,103.5375,4.69,3.95,18.5255,14.6,6.59,96.214
3,83.54,12.47,6.68,83.2996,5.13,4.18,21.4434,13.58,8.02,108.9116
3,89.71,12.41,5.89,73.0949,5.56,4.85,26.966,13.39,6.54,87.5706
3,87.56,12.94,7.39,95.6266,5.55,4.53,25.1415,13.77,8.14,112.0878
3,89.82,12.83,6.62,84.9346,5.14,4.54,23.3356,13.95,8.53,118.9935
3,86.96,11.92,6.28,74.8576,5.07,3.97,20.1279,12.57,6.76,84.9732
3,90.49,15.02,7.52,112.9504,5.55,4.31,23.9205,13.97,8.94,124.8918
3,87.67,13.37,6.69,89.4453,5.4,4.4,23.76,13.98,8.6,120.228
3,83.01,13.06,6.91,90.2446,5.39,4.83,26.0337,14.37,8.33,119.7021
3,86.32,13.75,8.29,113.9875,4.99,4.52,22.5548,14.33,8.68,124.3844
3,93.09,14.17,7.47,105.8499,5.71,4.71,26.8941,15.35,8.89,136.4615
3,83.09,14.08,8.1,114.048,5.51,4.58,25.2358,13.95,9.48,132.246
3,85.44,13.68,7.3,99.864,5.91,5.14,30.3774,14.06,9.56,134.4136
3,89.56,13.16,7.01,92.2516,5.15,4.74,24.411,14.71,9.44,138.8624
3,85.78,14.57,7.76,113.0632,5.32,4.87,25.9084,14.98,9.8,146.804
3,87.63,12.6,7.49,94.374,5.09,3.93,20.0037,13.1,8.56,112.136
3,87.57,13.59,7.19,97.7121,3.27,3.95,12.9165,12.58,7.3,91.834
3,89.76,14.11,7.81,110.1991,5.15,4.71,24.2565,14.76,9.5,140.22
3,90.43,12.62,6.99,88.2138,5.23,4.48,23.4304,13.86,8.73,120.9978
3,90.7,13.69,7.42,101.5798,5.75,4.54,26.105,14.18,8.86,125.6348
3,89.29,13.15,7.32,96.258,4.44,4.75,21.09,14.82,8.36,123.8952
3,92.37,13.7,7.46,102.202,5.76,4.42,25.4592,14.82,8.17,121.0794
3,90.52,13.31,7.12,94.7672,5.13,4.08,20.9304,13.98,8.71,121.7658
4,90.46,13.73,7.11,97.6203,5.24,4.41,23.1084,14,8.72,122.08
4,89.82,14.21,7.27,103.3067,5.46,4.26,23.2596,14.75,8.71,128.4725
10,93.3,,7.45,,5.31,4.66,24.7446,13.77,8.24,113.4648
10,92.3,13.09,6.79,88.8811,5.36,4.67,25.0312,14.43,8.2,118.326
