AGE,LENGTH,WIDTH,DEPTH,AREA,ROBUSTNESS
0,49.5,6,4.4,26.4,0.533333333
0,49.4,6,4.5,27,0.546558704
14,59.2,7.2,6,43.2,0.72972973
14,57.1,7.4,6,44.4,0.777583187
14,55,7.9,5.4,42.66,0.775636364
14,56,7.9,5.5,43.45,0.775892857
14,52.6,8.2,6,49.2,0.935361217
14,57.2,8.4,5.7,47.88,0.837062937
14,60,6.9,5.7,39.33,0.6555
14,57.8,6.9,5.7,39.33,0.680449827
14,58.2,9,6.6,59.4,1.020618557
14,58.8,8.3,6.4,53.12,0.903401361
14,54.1,7.2,6.1,43.92,0.811829945
14,57.4,8.1,6.5,52.65,0.917247387
14,57.7,7.8,6.1,47.58,0.824610052
14,57.2,8,5.6,44.8,0.783216783
14,60.8,7,5.9,41.3,0.679276316
14,57.2,6.8,5.6,38.08,0.665734266
14,60.8,6.6,5.9,38.94,0.640460526
14,59.7,7.6,6.3,47.88,0.80201005
14,58,6.8,5.3,36.04,0.62137931
14,58,7,6.5,45.5,0.784482759
14,61.1,7.2,5.6,40.32,0.6599018
14,59.2,8.8,6,52.8,0.891891892
14,59.2,7.8,6,46.8,0.790540541
14,56.1,6.3,5.6,35.28,0.628877005
14,57.1,8.1,5.6,45.36,0.794395797
14,55.3,7.4,6,44.4,0.802893309
14,56.3,7.9,6.4,50.56,0.898046181
14,56.3,7.5,5.9,44.25,0.785968028
14,58.7,7.2,5,36,0.613287905
14,50.7,6.6,6.1,40.26,0.79408284
14,52.7,6.9,6,41.4,0.785578748
14,54,6.8,5.2,35.36,0.654814815
14,53.2,7.7,5.3,40.81,0.767105263
14,53,6.9,5.1,35.19,0.663962264
14,54.3,8.1,6.2,50.22,0.924861878
14,56,6.9,6.1,42.09,0.751607143
14,53,7,6.2,43.4,0.818867925
14,59.1,7.5,5.9,44.25,0.748730964
14,57.1,7.1,5.7,40.47,0.708756567
14,54.1,6.7,5.9,39.53,0.730683919
14,52.5,7.8,5.7,44.46,0.846857143
14,53.6,6.4,5,32,0.597014925
14,54,7,5.1,35.7,0.661111111
14,58.3,7.3,5.5,40.15,0.688679245
14,56.6,7.6,5.4,41.04,0.725088339
14,56.4,7,5.4,37.8,0.670212766
14,55.7,7.4,5.4,39.96,0.717414722
14,56.6,6.7,5.2,34.84,0.615547703
14,57,7.4,5.2,38.48,0.675087719
14,56,7.2,5.7,41.04,0.732857143
14,57.8,6.6,5.1,33.66,0.582352941
14,58.6,6.8,5,34,0.580204778
14,54.4,7.1,5,35.5,0.652573529
14,53.5,7.7,4.8,36.96,0.690841121
14,55.9,7.6,5.6,42.56,0.761359571
14,53.8,6.5,5.2,33.8,0.628252788
14,56.2,6.6,5.1,33.66,0.598932384
14,57,7.8,5.3,41.34,0.725263158
14,56.3,8,5.5,44,0.781527531
14,57.4,7.3,5.4,39.42,0.686759582
14,59.6,8.1,5.7,46.17,0.77466443
14,59.3,7.4,5.8,42.92,0.723777403
14,56.2,6.6,5.1,33.66,0.598932384
14,56.1,6.7,5.3,35.51,0.632976827
14,58.9,6.6,5.7,37.62,0.638709677
14,56,7.1,5.1,36.21,0.646607143
14,56.8,7.1,5.2,36.92,0.65
14,57.7,7.7,5.6,43.12,0.747313692
14,57.7,6.8,5.3,36.04,0.624610052
14,59.9,7.3,5.9,43.07,0.71903172
14,57.8,6.5,4.7,30.55,0.528546713
14,56.7,7.4,5.3,39.22,0.691710758
14,58.8,6.8,5.3,36.04,0.61292517
14,61.1,7.6,5.4,41.04,0.671685761
14,58.8,6.7,5.7,38.19,0.649489796
14,54.5,7,5.4,37.8,0.693577982
14,53.8,7,4.9,34.3,0.637546468
14,54.6,7.9,5.6,44.24,0.81025641
14,57.8,7.3,5.6,40.88,0.707266436
14,60.1,6.6,4.9,32.34,0.538103161
14,61,7.6,5.9,44.84,0.735081967
14,59.4,8.4,5.9,49.56,0.834343434
