Catalog	Pit	Length	Prox_w	Prox_d	Mid_w	Mid_d	Dist_w	Dist_d	Age
B1219	61	147.2	35.7	31.6	18.4	15.9	36.9	31.4	12000
B1271	61	145.5	33.9	30.7	20.5	16.9	36.8	30.2	12000
B7418	61	141.8	41.2	28.2	18.2	15.2	36.5	29.3	12000
B7927	61	145	35	31.9	17.5	16	37.5	30.2	12000
B1323	67	144.3	33.6	31.2	19.2	16.6	37.4	28.7	12000
B6701	67	133.7	33.8	28.2	17.3	16.2	34.1	28.7	12000
B6758	67	139	33.1	31.3	17.4	15.5	35.3	30.2	12000
B6899	67	144.2	34.5	33.2	17.9	16.7	36.8	30.1	12000
B6966	67	136.6	36.7	30	19	17.5	37.8	31.1	12000
B6980	67	142.8	36.6	28.5	17.6	15.6	35.6	29.5	12000
B7174	67	137.3	36.3	29.5	18.8	16.9	37.4	31.6	12000
B7241	67	137.3	34.1	28.5	17.8	16	35	30.7	12000
B7246	67	136.3	32.4	28.6	16.9	14.9	35.7	27.9	12000
B7406	67	144.3	34	27.2	18.2	16.1	36.2	29.8	12000
B5873	13	140	34.7	30.3	18.8	16.6	38.2	30.5	14000
D5061	13	148.3	37.3	33.3	20.2	17.4	38.4	32.5	14000
B1725	3	146.1	35	31	19.4	16.3	37.2	32	15000
B1775	3	138	33.5	29.6	27.8	15.5	14.8	29.9	15000
B1783	3	147.7	36	36.1	18.7	16.4	37.8	35.7	15000
B1981	3	145.1	34	28.2	18.7	16	36.3	29.6	15000
B2031	3	136.9	33.8	31.5	17.2	15.3	35.3	30	15000
B2032	3	139.1	34.6	27.5	16.5	15.3	36.3	29.7	15000
B2057	3	146.1	36.5	31.8	18.9	17.4	37.7	31	15000
B2058	3	140.5	32.2	28.8	18.3	15.9	34.6	30	15000
B2059	3	138.1	34.1	29.6	18.6	15.5	36.3	29.4	15000
B2174	3	140.6	35	31.4	18.7	17.4	35.6	30.1	15000
B2506	3	149.3	34.5	29	18.3	15.6	36.5	30	15000
B2514	3	143.2	34.6	32.1	18.5	15.6	38.2	31.3	15000
B2624	3	145	33.2	33.6	18.9	16.6	38.3	30.9	15000
B2651	3	144	39.1	29.8	19.1	16.5	38.4	30.3	15000
B2701	3	141.5	33.8	31.6	19.5	17.4	36.2	31.5	15000
B2984	3	144.3	38.6	32	17.9	15.3	39.3	31.2	15000
B3026	3	142.6	33.8	35.9	18.1	15.6	36.1	29.8	15000
B3093	3	153.8	37.8	31.7	20.2	17.7	38.6	32	15000
B3258	3	148	34.9	31.8	19.6	16.3	36.6	30.7	15000
B3259	3	144.1	37.1	30.8	18.5	15.9	37.9	32.5	15000
B3281	3	140.8	33.7	27.5	17.3	15.8	33.2	27.2	15000
B3564	3	146.3	35.6	31.2	20.3	16.6	37.7	31.3	15000
B3591	3	147.2	39	31.7	20.2	17.7	37.4	28.8	15000
B3613	3	138.4	35.2	30.2	17.4	15.6	35.5	29	15000
B3666	3	137.3	33.9	29.2	18.3	16.6	35.4	30.2	15000
B4281	3	145.4	36.3	31.8	19.7	17.4	39.8	32.3	15000
B5980	3	145.5	34.1	32.3	19.4	17.7	37.2	32.4	15000
B8005	3	140.2	34.8	30.2	17.9	16.3	35.4	30.5	15000
B6516	60	142.6	35.8	30.5	18.1	15.7	38.1	31.7	23000
B6600	60	145.4	36.9	30	17.8	16.2	39.3	31.7	23000
B6099	16	142.8	34.6	30.2	16.4	16.3	37	29.8	35000
B6187	16	142.8	34.8	27.1	18.5	16.3	37.2	30.9	35000
B8254	16	144.9	35.3	34.4	19.4	18.1	39.2	32.8	35000
B8261	16	136.2	35.6	26.7	18	16.6	35.3	28.3	35000
B8264	16	132.2	35.4	32.5	17.3	16.8	35	29.3	35000
0	0	140.2	33.1	31.4	20.4	17.9	36.1	29.5	0
0	0	141.1	33.3	29.9	20.5	17.7	35.8	28.5	0
0	0	131.5	30.3	27.8	17.8	15.5	33.3	27.2	0
0	0	131.9	30.1	27.2	17.7	15.4	32.9	25.7	0
0	0	132.6	31.2	27.6	17.3	15.0	32.7	27.2	0
0	0	133.8	31.1	27.5	17.3	15.4	32.6	25.9	0
0	0	134.1	31.2	26.6	18.2	15.1	34.0	26.6	0
0	0	133.9	27.9	20.7	18.2	15.3	33.4	27.4	0
0	0	135.8	31.6	28.5	18.4	16.4	33.5	27.3	0
0	0	135.4	32.0	26.5	15.4	16.5	33.4	26.4	0
0	0	132.3	30.7	28.8	18.8	16.4	33.1	26.4	0
0	0	131.7	30.9	27.9	19.0	16.6	33.4	26.0	0
0	0	138.4	30.4	29.0	18.2	17.0	35.3	27.6	0
0	0	139.2	31.0	27.5	18.6	16.6	34.2	27.7	0
0	0	137.8	32.1	28.8	18.5	16.3	34.9	28.2	0
0	0	129.4	29.9	26.0	17.4	15.3	33.1	26.3	0
0	0	131.8	30.7	28.8	18.4	15.9	33.2	27.0	0
0	0	131.4	32.1	27.9	17.8	16.2	36.3	27.9	0
0	0	128	37.3	20.2	17.3	16.9	34.3	24.2	0
0	0	131.6	36.8	20.4	18	16.5	34.1	25	0
0	0	137.4	34.1	21.4	17.4	18.6	36.3	27.1	0
0	0	132.6	35.4	22.2	17.3	16.6	34	26	0
0	0	130	42	24.3	19.2	18.3	34.3	25.8	0
0	0	135	38.3	26.3	19	18.5	36.5	25.7	0
156102	0	134.6	30.9	27.7	17.9	16.3	33.7	28.1	0
156102	0	134.2	30.4	30.3	18.2	16	34.5	27.4	0
23334	0	130.2	29.7	27.3	16.6	15.1	32.9	27.4	0
23334	0	30	29.8	26.1	16.9	15.3	33.2	26.9	0
151087	0	128.2	30.4	26.6	17.1	15.9	33.5	25.7	0
151087	0	127.9	31.1	26.3	17.3	15.7	34	26.2	0
151086	0	126.4	29.8	26.5	17.7	15.8	33.7	26.3	0
151086	0	127	31	27	17.6	15.8	34	26.2	0
23338	0	142.5	33.5	28	19.6	17.6	35.1	27.4	0
23338	0	142.6	33.7	26.9	19.7	18	35.3	18.3	0
44888	0	131.1	30.6	28.6	17.7	15.4	34.7	26.6	0
44888	0	131.7	30.8	27.8	17.4	15.6	33.4	27.4	0
152997	0	134.5	33.6	28.4	19.2	17	36.3	28.2	0
152997	0	134.4	33.3	27.6	9.1	16.8	35.3	28.1	0
120363	0	128.5	28.4	26.9	16.3	14.2	32.5	25.4	0
120363	0	128.6	28.5	25.7	16.7	15.1	31.7	25.4	0
131373	0	132	29.8	27.8	17.3	15.8	33.2	26.5	0
131373	0	132.2	30.3	27.3	17.7	15.6	33.3	25.5	0
133377	0	139.5	34.5	30.7	18.5	16.7	37.1	29.5	0
133377	0	135.9	32.8	29.9	17.7	15.8	36.4	27.8	0
30906D	0	150	40.5	24	17.5	17.3	37.1	27	0
30906D	0	147	39.5	23.2	18.5	17.5	36.5	25.7	0
30906D	0	136	36	22	16.8	17	33.5	27.4	0
30906D	0	141	38.5	22.5	18.2	16.8	36.5	22.1	0
30906D	0	146.5	42.1	25.3	21	18.4	36.5	28.7	0
30906D	0	142	33	22.5	17	16.5	36.5	27.2	0
30906D	0	136.5	39	20.1	16.5	15	36.3	24.5	0
30906D	0	135	34	21	16.7	16.4	34.5	25.6	0
30906E	0	136	35	20.2	16	15.5	32.3	25.2	0
30906E	0	153.3	40	24.3	20	17.6	37.5	26.8	0
30906E	0	144.4	37	20	19	15.5	36	27.5	0
30906E	0	144	38	24.3	18.6	18.6	36	28.1	0
30906E	0	143	33	26.5	20	18.7	37.5	27.3	0
30906E	0	150	37.1	24	17.3	18	38	26.5	0
30906E	0	144	38	23.5	17.8	18	37.5	29	0
30906E	0	138.5	40.6	25.1	19.2	16.4	36.3	28	0
30906E	0	145.5	38.5	25	20	18	40	26.9	0
30906E	0	142.5	37	24	17.2	16.8	38	28	0
30906E	0	135	38.5	22.8	18.8	16.4	34	26.3	0
30906E	0	146	40	25.2	20.3	18.5	38	28.3	0
