Catalog #,Pit #,Age,Bill height,Bill width
Bi141/86821,,0,17.4,24.2
88894,,0,18,24.5
101811,,0,18.1,24.7
88895,,0,18.1,24.1
SBMNH544,,0,19,24.7
SBMNH547,,0,19,26
SBNHM550,,0,19.6,24.7
151087,,0,17,24.3
151086,,0,17.5,23.3
44888,,0,17.6,24.5
23459,,0,17.3,24.3
120363,,0,16.7,24.3
131373,,0,16.7,23.2
133377,AGE???,10000,17.7,25.2
B1414,1,Unk,16.9,26.9
B1469,2,Unk,20.8,27.2
B1606,3,15000,17.9,27
B1693,3,15000,16.5,25.9
B1814,3,15000,17.1,25.4
B2043,3,15000,17.3,25.4
B2049,3,15000,18,25.3
B2082,3,15000,16.7,24
B2388,3,15000,18.9,26.9
B2552,3,15000,16,24.9
B2721,3,15000,18.2,26
B2956,3,15000,18.4,26.5
B3574,3,15000,15.4,24.1
B3867,3,15000,16.2,25.1
B4311,3,15000,17.5,26.7
J8719,3,15000,17.6,25.7
B4515,4,Unk,19.1,25.6
B4565,4,Unk,15.8,22.8
B4644,4,Unk,16.8,25.4
B4963,4,Unk,16.8,24.6
B4717,4,Unk,16.7,24.9
B4783,4,Unk,16.7,25.2
B4786,4,Unk,16.5,25.3
B5106,4,Unk,17.6,26
B5107,4,Unk,17.1,25
B5117,4,Unk,16.7,24.9
B5417,4,Unk,19,27.3
B5437,4,Unk,17.9,26.2
B5523,4,Unk,16.8,26.2
B5718,4,Unk,18.4,25.9
B5907,13,14000,18.4,27.3
B6076,16,35000,18.7,26.1
B6550,60,23000,17.9,25.7
B6603,60,23000,17,25.3
B7559,61,12000,16.9,25.1
B7721,61,12000,17.3,25.8
B6680,67,12000,18.3,28.1
B6753,67,12000,15.2,24.4
B6999,67,12000,20.1,26.1
B7015,67,12000,17.5,25.6
B7018,67,12000,17.9,27.2
B7041,67,12000,16.4,25.6
B7340,67,12000,15.7,25.3
B7393,67,12000,17.2,26.4
B6409,77,32000,16.9,26.7
159,?,Unk,18.1,26.8
?,?,Unk,18.3,25.5
B8045,?,Unk,18.1,27.1
B2050,3,15000,20.5,21.2
M1,,Unk,17.4,24.2
M2,,Unk,18,24.5
M3,,Unk,18.1,24.7
M4,,Unk,18.1,24.1
M5,,Unk,19,24.7
M6,,Unk,19,26
M7,,Unk,19.6,24.7
M8,,Unk,17,24.3
M9,,Unk,17.5,23.3
M10,,Unk,17.6,24.5
M11,,Unk,17.3,24.3
M12,,Unk,16.7,24.3
M13,,Unk,16.7,23.2
B2050,,Unk,19.3,27.5
UCMP28067,,0,18,18.5
UCMP28065,,0,20.4,18.7
UCMP28036,,0,17.2,17.6
UCMP28069,,0,17,16.5
UCMP28058,,0,18,
UCMP28059,,0,21,18.8
UCMP28045,,0,20.1,18.1
UCMP28076,,0,18.4,18.6
