Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Pit depth if relevant
B1435,2,,329.9,34.8,28.6,15.7,14.8,24.8,24.2,
B1436,2,,308.5,31.1,26.8,14.1,13.7,23,24.5,
B1818,3,15000,298,32.1,26.7,15.4,14.8,23.2,25.2,
B1937,3,15000,303.3,33.9,27.2,14.2,13.2,24.2,24.7,
B2133,3,15000,299.8,31.1,26.4,13.6,12.8,23.8,25.9,
B2574,3,15000,310.2,30.5,27.3,14.6,13.5,22.4,23.7,
B2663,3,15000,308.4,30.6,26.2,12.9,13.1,22.2,23.2,
B2811,3,15000,299.2,33.9,28.1,13.9,14,23.4,25.2,
B3028,3,15000,308.9,36.1,26.5,12.9,13.4,22.2,24.5,
B3274,3,15000,295.2,35.6,28.8,13.7,13.5,23.7,25,
B3336,3,15000,293.8,31.3,26,13.9,12.6,24,24.6,
B3347,3,15000,311.4,32.1,28.2,13.6,14.1,23.8,25.9,
B8244,3,15000,300.2,30.9,25.1,13.2,12.7,21.3,23.9,
B4480,4,,326.8,33.4,27.3,13.7,13.5,25.6,26.3,
B4607,4,,318.6,34.3,27.2,15.4,15.2,25.3,25.5,17
B4608,4,,317.8,33.5,28,13.3,13.7,24.6,23.8,17
B4650,4,,321,33.5,27.4,14.4,14.2,25,24.2,9
B4959,4,,305.1,32.2,26.3,13.6,13.2,23.3,25.5,9.0-15.0
B5353,4,,306,32.7,26.7,13.9,13.4,24.8,25,12
B5636,4,,319.8,33,26.7,15.5,15.1,24.6,24.4,13
B5661,4,,307.6,34.2,25.5,13.7,12.4,23.3,24.1,11
B8177,4,,310.3,31.3,26.6,14.9,14.7,22.3,24.2,16.5
B8016,13,14000,321.8,35.5,26.8,14.4,13.8,24.4,25.9,
B8176,13,14000,288.2,31.5,25.8,13.6,12.9,22.2,23.2,
B8098,?,,309.2,32.3,27.7,14.4,14.1,23.2,24.8,
Bi1916/36096,M,0,317,32.5,26.8,15.3,14.9,21.4,24.9,
Bi1916/36096,M,0,313,32.8,26.1,14.9,13.7,21.8,25.2,
Bi141/86821,F,0,298,30.5,24,12.8,12,21.8,20.7,
Bi141/86821,F,0,295,30.5,25.2,13.6,12.2,22.7,22.5,
101811,M,0,297.4,31,24.7,13.1,13.1,23.2,19.8,
101811,M,0,294.5,30.6,25.2,13.2,12.9,23.3,19.6,
Bi1050/16013,?,0,231,30.9,25.5,13.5,12.8,20.3,23.1,
Bi1050/16013,?,0,298.6,30.9,25.4,12.8,12.3,20.7,24.8,
Bi269/86822,?,0,303.4,31.7,25.3,13.3,13.1,20.3,23.5,
SBMNH544,M,0,314,30,25.5,14.7,14.3,23.3,20.4,
SBMNH544,M,0,325,29.6,26.5,15,13.9,18.7,19.6,
SBMNH550,?,0,320,32.1,26.4,14.5,14,20,23,
SBNHM550,?,0,320,35,28,14.3,14,22.7,18.5,
151087,?,0,293.3,30.4,25,12.8,11.9,20.3,23.7,
151087,?,0,291.3,30.1,25.6,13.5,12.2,21.4,23.7,
151086,?,0,290.1,30.4,26.4,12.5,12.4,20.2,24.2,
151086,?,0,289.4,29.9,24.8,12.5,12.4,19.8,23.9,
44888,?,0,289.6,30.6,25.1,12.8,12.3,20.9,22,
44888,?,0,290.9,30.7,25.2,12.4,11.8,20.9,22.2,
152997,?,0,309.1,32,25.8,13.3,12.3,20.7,23,
152997,?,0,308.3,31.6,25.5,13.1,12.4,20.5,23.4,
120363,?,0,288.9,29.9,23.6,12.1,11.8,19.1,21.7,
120363,?,0,290,30.5,23.7,12.1,11.6,19.4,21.3,
131373,?,0,199.2,30.1,24.4,12.8,12.3,18.8,22.4,
131373,?,0,200.1,29.9,23,12.8,12.6,18.6,21.8,
