Pit #,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth
2,142.2,38,17.7,12.4,15.1,25.9,17.7
3,136.3,35.9,16.7,11.8,14.2,24.7,18
3,128.2,35.6,15.6,11.2,14,23.3,18.3
3,134.2,35.6,17.3,12,14.8,24,17.4
3,136.7,35.7,16.9,11.5,13.8,26.2,18.6
3,131.3,35.4,16.6,10.2,13.6,24.7,17.6
3,137.6,39,18.4,11.7,14.8,26.8,19.4
3,141.9,36.7,17.2,11.1,14.1,24.4,18.3
3,139,35.6,16.4,11.6,14.8,25.4,17.9
3,131.2,35.6,16.8,11,14.2,24.7,16.6
3,129.5,33.7,16.4,10.1,12.8,24.2,16.2
3,137.6,34.9,17.1,10.6,12.7,24,16.8
3,138.2,36.7,17.5,10.4,13.9,25.3,18.3
3,132.9,33.3,17.1,9.7,12.2,24,16.3
3,132.9,36.4,16.6,10.6,14.5,23.4,17.2
3,133.8,35.6,16.3,11.1,13.6,23.3,16.9
3,136.3,33.7,16.3,10.6,13.8,22.8,17
3,131.6,35.7,17.5,11.4,14,24,18.4
3,130.6,33.6,16.7,10.3,13.6,22.2,17.1
3,129.4,34.1,16.7,11.3,14.2,22,16.7
3,130.3,33,16.7,11.1,13.6,23.5,17.6
3,131.5,35,15.8,10.4,13.5,22,16.4
3,140.7,35,16.7,11.7,13.4,24.3,17.8
3,132.6,35.2,17.3,11.2,14,25.4,18.1
3,137.2,36.8,17,10.5,13.5,24.3,17.2
3,139.8,35.7,16.9,10.8,13.2,23.7,18.1
3,130.9,34.2,16,10.6,12.9,22.6,17.3
3,136.1,34.5,16.9,10.8,13.5,24.1,16.4
3,138.6,35.7,17.3,12.8,15.2,24.2,17.3
3,128.4,34,15.6,10.3,13.8,24.2,17.2
3,134.3,35,17.1,11.4,13.9,23.8,17.4
3,142.6,36.3,17.2,12.3,14.6,24.2,17
3,138.5,34.1,16.5,11.1,13.9,23.5,16.5
3,134.5,35.3,16.7,11.2,13.8,23.1,16.1
3,135.3,34.8,16.9,11.7,15.6,25.5,17.6
3,135.4,35.7,16.2,11.7,13.4,24.1,17.6
3,138.2,35.5,17.1,12.1,13.7,23.7,16
