Pit #,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth
3,224.7,35.9,31.1,14.6,12.7,25.1,25.3
3,216.5,35.6,28.1,15.8,12.4,25,23
3,220.3,35.5,29.5,14.9,12.2,24.8,23.2
3,219.1,34.2,26.8,15,12.3,24,22.3
3,234.4,35.1,27.5,16.8,12.7,26.4,24.2
3,223.3,34.8,28.1,15.3,12.9,26.1,24.5
3,223.5,37.5,31.4,15.7,12.6,26.8,24
3,233.5,35,26.7,16.6,13.5,24.6,23.8
3,223,36.7,27.8,16.5,12.8,25.9,23.2
3,229.3,35.5,28.8,15.1,11.8,23.7,23.4
3,227.8,36.3,35.6,16.9,14,25.3,23.9
3,232.5,36.2,29.7,16.2,12.5,23.6,24
3,236.1,36.2,30.2,17,13.4,26.6,25.6
3,222.2,35.5,29.9,15.7,12.8,23.7,24.4
3,224.9,36.8,29.1,15.6,12.9,26.3,23.3
3,229.1,35.6,31.2,16.2,13,23.4,24.5
3,230.1,35.3,31.6,16,12.7,24.4,22.7
3,228.3,37.1,28.6,16,13.2,24.5,22.7
3,213.6,34.3,28.6,16.2,12.4,23.6,21.5
3,219.3,33.5,29.2,15,12,24.2,23.5
3,226.2,36.1,30,14.4,11.7,24.1,23.5
3,219.8,34.1,29.9,15.4,12.3,24.7,23.2
3,234,36.8,30.9,15.9,13.7,26.5,25.4
3,218.6,34.2,28.7,14.7,11.6,24,22.5
3,219.4,36.6,28.2,16.1,12.9,25,23.1
3,228.6,35,29,16.7,12.6,23.7,23.9
3,208.4,35.2,28.8,14.4,11.7,24.3,22.8
3,218.6,34.2,28.5,14.4,11.4,23.1,22.1
3,216.2,36.5,31,15.7,12.5,23.2,23.7
3,226,36.3,28.9,14.6,12.4,25.4,24.5
3,220.3,34.7,29.2,15.3,12.2,23.2,22.6
3,221.7,36,30.2,15.7,12.8,24.2,24.6
3,220.4,35.1,30.2,14.9,12.1,24.5,23.7
3,229.2,37.7,28.3,16.2,13.3,25,24.5
3,218.8,31.3,27.3,17.2,12.1,25.4,23.5
3,224.2,35.5,29.2,15.4,11.9,25.1,23.8
3,224.9,36.1,30.7,15.4,13.4,26.4,23
3,230.3,39.8,28.8,16.2,12.7,26,25.2
3,218.5,37.8,29,16.3,13.6,24.1,24.7
3,213.6,32.9,29.1,14.6,11.8,24.9,22.3
4,238.8,39,33.8,17.5,13.6,26.7,24.8
4,219.7,34.3,26,14.6,11.1,23.8,22
4,233.4,36.5,31.7,16.7,13.2,24.9,24
4,213.5,35.5,28.5,15.9,12.2,24.2,23
4,230.7,35.7,31.6,16.8,13.5,25.1,26.2
4,236.5,33.7,29.8,15.4,12.3,24.7,26.5
4,223.5,36.7,29.7,15.8,12.5,24.6,24.6
4,220,35.5,28,15.4,12.8,25.6,23.4
13,213.7,33.5,25.2,15.4,11.7,23.9,21.1
13,213.7,35.4,29.8,16.2,12.5,24.7,23.6
16,211.2,34.7,27.3,15.5,12.1,24.5,23.2
60,217,33.6,26.1,14.7,11.9,23.4,23.5
60,219.9,34.9,28.2,17.1,12.5,23.9,22.8
61,236.5,33.7,30.9,16.1,13.3,26.5,25.8
61,238.5,38.1,32.6,16.7,13.3,26.8,25.1
61,210.2,34.6,29.4,15.5,12.8,23.8,22.8
61,221.2,34.4,29.1,15.2,12.6,26,24.2
61,216.8,33.3,27.2,14.1,12,21.9,22.2
61,225.3,35.3,31.7,15.6,12.2,25.5,24.2
67,232,36.5,30.1,17.4,13.2,25.3,23.8
67,223.4,33.8,27.2,16.8,13.2,25.2,22.2
67,218.9,33.2,28,15.2,11.8,23.3,22.6
67,221.2,32.4,27,15.5,11.9,25,22.3
67,219.8,35.3,29.6,15.3,12.3,26.9,23.1
,211,33.6,27.5,14.6,11.3,21.8,21.9
,212,33.9,27.2,14.1,11.3,21.1,21.9
,211.2,32.4,28.4,13.9,11.1,22.8,21.5
,,,,13.4,11.4,22.5,21.6
,211.4,38.4,27.5,14.3,12,23.5,22
,214.6,38.3,29,14.7,12,23,21
,218,35,29.2,15.2,13,25,35
,219,39,31.3,15.3,13,26.4,22.2
?,212.3,34.3,28.2,14.8,12.2,22,21.9
?,211.8,32.8,28,14.9,12,23,22.9
?,205.3,32.7,27.3,14.3,11.8,21.9,20.7
?,207.9,33.1,27.4,14,11.9,21.9,20.6
?,210.1,33,28.2,14.4,11.5,23.1,20.9
?,209.2,32.8,27.9,14.5,11.5,23.6,21.2
?,207.5,32.6,27.7,14.1,10.9,23.3,22
?,206.5,32.5,27.9,14.4,11,23.4,22.2
?,202.1,30.4,26.8,13.7,10.5,22,20.7
?,202.3,30.2,26.1,13.6,10.5,21.9,21
?,208.7,32.7,26.7,14.1,11.3,21.8,20.6
?,207.6,32.4,27,14.3,11.3,22.1,20.5
AGE???,,32.5,27.6,,,24.2,21.6
AGE???,206.9,31.6,26.6,13.9,12.8,20.7,24.6
