"","element","dimension","logL","K","AICc","Akaike.wt"
"GRW","femur","length",-19.0723176677585,2,46.144635335517,0.028
"URW","femur","length",-19.1279699791543,1,41.2559399583086,0.323
"Stasis","femur","length",-15.9321011838027,2,39.8642023676053,0.649
"GRW1","femur","proximal area",-34.9077789516777,2,77.8155579033553,0.013
"URW1","femur","proximal area",-35.2641192665636,1,73.5282385331272,0.113
"Stasis1","femur","proximal area",-30.71367376996,2,69.42734753992,0.874
"GRW2","femur","midshaft area",-28.3631443203938,2,64.7262886407876,0.015
"URW2","femur","midshaft area",-28.3790448916999,1,59.7580897833998,0.179
"Stasis2","femur","midshaft area",-24.3760116882778,2,56.7520233765557,0.806
"GRW3","femur","distal area",-36.3981112103807,2,80.7962224207614,0.03
"URW3","femur","distal area",-36.6162686700046,1,76.2325373400092,0.294
"Stasis3","femur","distal area",-33.2835742635459,2,74.5671485270918,0.676
"GRW4","tarsometatarsus","length",-1.18307963546531e+33,2,2.36615927093061e+33,0
"URW4","tarsometatarsus","length",-12.744722784619,1,28.289445569238,0.196010173429179
"Stasis4","tarsometatarsus","length",-9.23330273217336,2,25.4666054643467,0.803989826570821
"GRW11","tarsometatarsus","proximal area",-36.3300514243334,2,79.6601028486669,0.014
"URW11","tarsometatarsus","proximal area",-36.6303214669683,1,76.0606429339366,0.086
"Stasis11","tarsometatarsus","proximal area",-32.1861090977571,2,71.3722181955141,0.899
"GRW21","tarsometatarsus","midshaft area",-27.4746834380103,2,61.9493668760205,0.002
"URW21","tarsometatarsus","midshaft area",-27.6585123781075,1,58.1170247562149,0.013
"Stasis21","tarsometatarsus","midshaft area",-21.2562550202066,2,49.5125100404132,0.985
"GRW31","tarsometatarsus","distal area",-36.0167511525693,2,79.0335023051386,0.018
"URW31","tarsometatarsus","distal area",-36.2953775955729,1,75.3907551911458,0.11
"Stasis31","tarsometatarsus","distal area",-32.1209142412638,2,71.2418284825277,0.873
"GRW5","tibiotarsus","length",-15.4469570212324,2,46.8939140424649,0.002
"URW5","tibiotarsus","length",-15.5077749110312,1,35.0155498220624,0.71
"Stasis5","tibiotarsus","length",-10.4095981625033,2,36.8191963250065,0.288
"GRW12","tibiotarsus","proximal area",-24.6230017706527,2,65.2460035413055,0.002
"URW12","tibiotarsus","proximal area",-24.6236331664574,1,53.2472663329149,0.923
"Stasis12","tibiotarsus","proximal area",-21.1411733348162,2,58.2823466696324,0.074
"GRW22","tibiotarsus","midshaft area",-15.1718062260514,2,46.3436124521028,0.001
"URW22","tibiotarsus","midshaft area",-15.7697359179993,1,35.5394718359985,0.276
"Stasis22","tibiotarsus","midshaft area",-8.80688301076375,2,33.6137660215275,0.723
"GRW32","tibiotarsus","distal area",-21.9081257079852,2,59.8162514159703,0.002
"URW32","tibiotarsus","distal area",-21.9490798493508,1,47.8981596987017,0.879
"Stasis32","tibiotarsus","distal area",-17.9556376153537,2,51.9112752307074,0.118
"GRW6","humerus","length",-15.1908075195854,2,40.3816150391709,0.034
"URW6","humerus","length",-15.2128431801403,1,33.759019693614,0.925
"Stasis6","humerus","length",-14.9771262892935,2,39.9542525785871,0.042
"GRW13","humerus","proximal area",-27.4490710017826,2,64.8981420035651,0.042
"URW13","humerus","proximal area",-27.7953307923692,1,58.9239949180717,0.826
"Stasis13","humerus","proximal area",-26.2929132164229,2,62.5858264328459,0.132
"GRW23","humerus","midshaft area",-21.779567287896,2,53.5591345757921,0.165
"URW23","humerus","midshaft area",-23.5014602235086,1,50.3362537803505,0.827
"Stasis23","humerus","midshaft area",-24.7691876874325,2,59.5383753748651,0.008
"GRW33","humerus","distal area",-29.9957749407721,2,69.9915498815441,0.011
"URW33","humerus","distal area",-30.0246844556503,1,63.382702244634,0.307
"Stasis33","humerus","distal area",-25.892562032304,2,61.7851240646079,0.682
"GRW7","carpometacarpus","length",-22.3372317653974,2,54.6744635307949,0
"URW7","carpometacarpus","length",-23.2873899236847,1,49.9081131807028,0.001
"Stasis7","carpometacarpus","length",-12.8627885048286,2,35.7255770096572,0.999
"GRW14","carpometacarpus","proximal area",-29.02495566493,2,68.04991132986,0.001
"URW14","carpometacarpus","proximal area",-30.3201220008594,1,63.9735773350521,0.007
"Stasis14","carpometacarpus","proximal area",-22.0675589932198,2,54.1351179864397,0.992
"GRW24","carpometacarpus","midshaft area",-22.6633927137016,2,55.3267854274032,0.01
"URW24","carpometacarpus","midshaft area",-23.8056677672071,1,50.9446688677475,0.091
"Stasis24","carpometacarpus","midshaft area",-18.1824270949987,2,46.3648541899973,0.899
"GRW34","carpometacarpus","distal area",-27.0658771163939,2,64.1317542327877,0.002
"URW34","carpometacarpus","distal area",-28.4852737773329,1,60.3038808879991,0.014
"Stasis34","carpometacarpus","distal area",-20.9094018048189,2,51.8188036096378,0.984
