Pit,MaxLength,MidW,MidD
10,88,10.4,7.8
10,94.5,11.8,9.3
10,93.9,11.1,9
10,87.8,9.9,7.8
10,88.5,11.56,9.9
61,87,12.5,11
61,94.5,14,10.5
61,90.5,10,9.5
61,88,11.2,9.7
67,96,10,10
4,89,10.5,9.5
4,92,11,9
4,95,13,10
4,95,10,12
4,96,12,10
4,88,11,10
4,90,12,10
4,91,12,10
4,97,13,10.3
4,92,12.5,10
4,95,13,11
4,88,8,6
4,100,13.2,10.5
4,93.5,11,10
4,90,11,10
4,90,11.5,10
4,96.5,12.2,10.6
4,88,10.7,9.8
4,91,11,9.2
4,98,12.2,10.1
4,89,10,9.5
4,91,12.5,9.5
4,93.5,12.2,10.5
4,87.7,13,10.5
4,96.5,13,10.8
4,94,12.5,10
4,90,10.7,9.3
4,91.3,12,10.5
4,91.8,10.5,9.5
4,91.1,11.3,10.1
4,96.2,12.1,11.1
4,95.8,10.8,10.6
4,92.7,10.1,9.3
4,90.6,10.9,9.6
4,89.3,10.6,10.3
4,94.3,10.4,9.5
4,94,10.3,10.3
4,90.7,10.2,9.2
4,90,11,9.7
4,93.2,11.1,9.9
4,91.8,10.9,9.4
4,94.6,12.2,9.4
4,95.9,12.1,9.6
4,91.3,11.5,9.6
4,91.9,10.1,8.4
13,100,13,12
13,93,11,10
13,97,13,11
13,91,11,10
13,85,12.5,8.5
13,94,14,10.5
13,92,11,9
13,90,12,10.5
13,94,13,9.5
13,99.5,12.5,11
13,90,11.5,10
13,99,13.5,11
13,89,12,9.5
13,95,12.5,11
13,92.8,13,9.9
13,91.2,13,9.9
13,94.5,14,11.5
13,94,12.2,10.5
13,96,15,10.2
13,99,12.3,10
13,99.5,13,11
13,94,12,11
13,97.5,14.3,10
13,97.2,12.3,10
13,89.1,10.5,9
13,88,11.3,10.2
13,93.8,10.7,11.5
13,88,11,9.8
13,99.5,15.2,11.2
13,95,12.1,9.5
13,98,13,10.5
13,96,14,10
13,90,10.7,9.2
13,93,11.5,11
13,90,11.5,10.1
13,96.5,13,10
13,92.5,10.9,10
13,89,14.5,11.5
13,98.5,13,10.6
13,94,13.7,11
13,91.6,11,9
13,94.1,11.7,9
13,94.7,14.5,11.2
13,96,14.1,11.2
13,100.2,13,10.5
13,95,11.5,10.5
13,96.2,10.9,9.1
13,97.6,13.9,11.5
13,99.5,12.2,9.8
13,92.6,11.5,12
13,95.9,12,8.8
13,99.1,12.5,10.2
13,91.5,10.1,8.6
13,91.1,10.2,9.1
13,93.4,12.6,9.2
13,98.9,13.3,10.9
13,95.2,13.3,9.5
13,94,11.2,9.7
13,95,13.7,10.6
13,90.8,11.4,9.6
13,96.5,13.3,10.9
13,91.8,11.8,10.4
13,101.2,11.8,10.1
13,98.2,13.1,10.1
13,93.3,10.9,10.5
13,96,11.5,9.8
13,93.9,12.1,10.1
13,90.7,11.5,9.7
13,97.1,12.5,9.8
13,99.4,13.2,11
13,93.3,10.5,10.3
3,95,14,11
3,96,15,11
3,97,13,10
3,97,14,11
3,95,11.2,11.2
3,97,11.5,10
3,96,12,9.2
3,88,11,9.5
3,88,9.9,9.8
3,87.7,12.1,9.5
3,86.7,11.8,9.1
3,88,10.6,9.5
3,88.5,10,9.3
3,90.5,11.5,9.8
3,91.5,11.3,9
3,96.5,13,10.5
3,93.2,13.5,11
3,89.7,9.9,9.7
3,98.2,11.8,9.8
60,91,13,10
60,94,10.5,9
60,98,13,11
60,93,11,10
60,93.7,12.3,11.7
60,93.4,13.1,10.8
60,94.7,13.2,10.2
60,94.7,11.3,10
98,98.3,11.7,9.2
98,92.7,13.6,9.3
98,98.2,12.1,9
98,88.5,10.9,8.1
98,96.6,12.1,10.1
98,102.2,11.9,10.4
77,90.5,10.5,9.5
77,86.5,10.7,9
77,99,14.5,10.5
