"","CatNo","Pit","Length","MidshaftWidth","MidshaftDepth"
"1","E 8004",3,134.47,13.78,8.15
"2","E 8140",3,145.97,13.8,8.31
"3","E 8130",3,143.15,13.83,8.18
"4","E 8063",3,145.47,13.94,9.31
"5","E 8215",3,115.37,11.79,7.48
"6","E 8125",3,118.24,12.35,6.93
"7","E 8038",3,108.26,12.03,7.2
"8","E 5977",3,110.52,11.02,6.68
"9","E 8030",3,120.41,10.96,7.27
"10","E 8227",3,115.07,11.52,7.03
"11","E 8022",3,118.33,11.53,6.59
"12","E 7984",3,116.72,11.62,6.57
"13","E 7952",3,112.99,11.24,6.87
"14","E 8018",3,117.65,12.29,7.42
"15","E 8160",3,114.54,11.27,6.44
"16","E 8025",3,146.08,14.1,8.76
"17","E 7983",3,135.58,13.34,8.69
"18","E 8058",3,109.37,10.87,6.96
"19","K 3098",3,139.28,12.82,8.01
"20","E 8123",3,110.19,10.58,6.62
"21","E 7976",3,116.41,10.83,6.66
"22","E 8158",3,112.87,11.37,6.5
"23","G 6272",4,147.74,14.36,9.42
"24","E 6801",4,145.42,14.26,8.5
"25","E 6793",4,141.53,13.42,8.78
"26","E 7737",4,138.75,13.16,8.12
"27","E 7538",4,139.49,12.61,7.86
"28","E 7439",4,144.47,13.84,8.9
"29","E 7146",4,137.89,13.52,8.56
"30","E 6725",4,142.87,14.23,9.03
"31","E 7054",4,140.95,13.61,8.94
"32","E 6838",4,135.87,13.59,8.56
"33","E 7695",4,141.45,13.2,8.51
"34","E 7671",4,130.99,13.21,8.61
"35","E 7339",4,143.28,14.06,8.68
"36","E 7492",4,142.96,13.9,8.95
"37","E 7411",4,141.71,13.26,9.06
"38","E 7418",4,142.19,13.43,8.63
"39","E 6843",4,136.8,13.04,8.43
"40","E 7294",4,137.19,13.79,8.56
"41","E 6804",4,140.46,14.15,8.71
"42","E 7672",4,140.77,14.37,8.87
"43","E 7923",4,143.01,14.32,9.52
"44","E 7215",4,133.12,13.62,8.59
"45","E 6897",4,141.4,14.31,8.16
"46","E 8246",4,141.09,13.04,8.36
"47","E 7711",4,148.84,14.46,9.07
"48","E 7556",4,141.28,14.43,8.04
"49","E 6836",4,147.93,13.71,8.65
"50","E 7467",4,125.81,12.12,8.13
"51","E 7738",4,109.6,10.37,6.73
"52","E 6710",4,111.87,11.18,6.5
"53","E 7675",4,107.86,11.3,6.79
"54","E 7608",4,115.16,11.01,7.16
"55","E 7914",4,115.12,11.72,7.6
"56","E 7534",4,118.67,11.8,7.15
"57","E 6948",4,112.7,11.43,6.99
"58","E 6965",4,115.19,11.16,7.01
"59","E 7916",4,111.12,11.45,6.93
"60","E 6942",4,117.34,11.74,6.86
"61","E 7057",4,118.53,10.73,6.75
"62","E 7934",4,111.96,11.14,6.35
"63","E 6745",4,113.84,11.28,7.02
"64","E 7508",4,119.1,11.55,7.2
"65","E 6950",4,116.2,10.86,6.95
"66","D 8174",4,117.28,11.52,7.46
"67","E 7620",4,120.62,11.76,7.39
"68","E 7282",4,117.54,11.74,6.82
"69","E 6939",4,117.02,11.16,7.33
"70","E 7620",4,120.62,11.72,7.64
"71","E 7743",4,113.87,11,6.83
"72","E 7681",4,120.14,11.88,7.42
"73","E 7573",4,115.31,11.65,7.13
"74","E 7242",4,119.84,10.93,7.1
"75","E 7036",4,110.35,11,6.37
"76","E 7023",4,115.15,11.81,6.93
"77","E 7721",4,116.29,10.64,6.58
"78","E 6903",4,115.13,11.3,6.82
"79","E 7181",4,139.87,13.57,8.48
"80","E 7145",4,142.12,14.49,8.93
"81","E 6837",4,139.53,14.1,8.09
"82","E 7413",4,138.27,13.28,8.62
"83","E 7394",4,150.02,14.56,9.68
"84","E 7551",4,139.52,13.9,8.7
"85","E 6828",4,135.85,13.08,8.2
"86","E 6725",4,142.87,14.34,9
"87","E 7293",4,136.1,13.83,8.43
"88","E 7670",4,139.66,13.76,9.15
"89","E 7643",4,140.09,13.8,8.36
"90","E 7059",4,141.32,13.69,8.9
"91","E 7740",4,147.15,15.04,9.3
"92","E 6711",4,140.51,14.01,8.71
"93","E 7455",4,134.22,13.52,8.95
"94","E 6839",4,147.01,14.15,8.78
"95","G 6274",4,140.39,14.62,8.58
"96","E 6849",4,130.79,13.41,8.16
"97","E 7416",4,144.37,14.1,8.79
"98","E 7827",4,143.38,14.43,8.89
"99","E 7894",4,143.18,14.15,9.24
"100","E 7865",4,136.66,13.5,8
"101","E 6899",4,119.89,10.76,7.02
"102","E 7557",4,146.96,14.81,8.66
"103","E 6818",4,140.74,13.49,7.85
"104","E 7040",4,144.06,13.78,8.48
"105","E 7240",4,132.84,12.9,7.94
"106","E 7452",4,141.56,13.53,8.19
"107","E 6961",4,141.51,14.19,7.69
"108","E 6727",4,138.04,13.83,7.98
"109","E 6795",4,136.61,13.31,7.14
"110","E 7449",4,139.1,14.25,7.55
"111","E 7314",4,138.86,12.3,8.07
"112","E 6722",4,138.46,13.73,8.54
"113","E 7698",4,118.75,12.49,7.53
"114","E 7217",4,116.33,11.99,6.93
"115","E 7414",4,110.96,10.95,6.7
"116","E 7300",4,111.65,11.08,6.61
"117","E 6800",4,118.49,11.07,7.03
"118","E 6807",4,112.82,11.85,6.8
"119","E 6933",4,115.73,12.33,7.52
"120","E 6846",4,120.63,10.79,7.32
"121","E 7919",4,120.74,11.94,7.7
"122","E 6777",4,113.63,11.15,6.72
"123","E 6696",4,117.75,11.42,7.18
"124","E 6798",4,118.58,12.09,7.08
"125","K 3092",4,120.34,11.84,6.68
"126","E 8249",4,115,11.06,7.13
"127","E 7744",4,115.64,11.2,7.26
"128","E 7453",4,112.91,11.41,6.7
"129","E 7307",4,113.65,10.58,6.46
"130","E 6971",4,116.27,11.12,6.63
"131","E 7148",4,120.91,11.59,7.36
"132","E 6895",4,112.3,11.36,6.8
"133","E 7898",4,120.29,11.87,7.17
"134","E 7138",4,107.45,10.92,6.32
"135","E 6866",4,111.94,10.7,6.46
"136","E 7712",4,111.85,10.52,6.9
"137","E 6824",4,120.82,12.16,6.89
"138","E 7251",4,124.33,12.54,7.73
"139","G 6016",4,122.48,11.71,6.98
"140","E 7185",4,117.67,11.59,7.02
"141","E 6707",4,117.94,10.91,6.88
"142","E 7869",4,115.2,12.02,6.92
"143","E 5080",4,119.07,11.52,6.97
