Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
ocellata,,?,43096,114.01,19.03,11.37,7.08,,18.15,10.81,9.02,50.07,15.2,?,15-Oct-1957,adult,UCLA,,spur spongy,
ocellata,,?,88937,134.87,19.77,12.9,7.49,5.61,18.17,11.58,9.57,59.01,25.74,San Diego Zoo,"January, 1967",adult,NHM LA,,spur fully developed,
ocellata,,?,89959,,,,,,,,,,,Aviary bird,"July, 1956",imm (all bones clearly unossified),NHM LA,,,
ocellata,,?,106510,129.67,20.82,12.53,8.1,,18.77,11.81,10.04,54.42,,Aviary bird,?,adult,NHM LA,,spur=little bump,
ocellata,,?,Bi 1820 (=89957),,,,,,,,,,,San Diego Zoo,12-Jun-1955,adult,NHM LA,,,
ocellata,,f,42174,108.42,17.25,10.82,6.81,4.93,16,9.99,8.47,,,San Diego Zoo,3-Mar-1981,adult,San Diego NHM,,,
ocellata,,f,45064,112.42,17.42,11.06,6.3,5.01,15.63,10.16,8.62,,,San Diego Zoo,2-Jun-1988,adult,San Diego NHM,,,
ocellata,,f,132951,116.62,17.18,10.43,6.31,4.59,15.56,9.74,8.49,,,San Diego Zoo,27-Jul-1953,adult,"University of California, Museum of Vertebrate Zoology",,,
ocellata,,f,151343,116.31,17.83,10.55,6.33,4.8,17.54,10.92,8.46,,,Guatemala: Prov. Peten,10-Apr-1956,adult,"University of Michigan, Muzeum of Zoology",wild bird,,
ocellata,,f,264 (=41762),118.49,20.46,13.03,7.66,5.39,20.35,11.94,9.61,,,Guatemala,1910,adult,"UCLA (Purchased, Kny-Scheerer Co, NY)",,,
ocellata,,m,41634,134.09,20.49,12.02,7.32,5.48,17.65,11.13,9.17,58.44,22.38,cage bird,26-Feb-1979,adult,San Diego NHM,,spur fully developed,
ocellata,,m,42733,127.13,19.62,11.42,7.21,5.48,17.11,10.33,8.6,53.14,23.81,San Diego Zoo,25-Mar-1981,adult,San Diego NHM,,spur fully developed,
ocellata,,m,43106,124.68,19.8,12.44,7.58,5.58,17.8,12.01,9.6,,,San Diego Zoo,24-Jun-1983,adult,San Diego NHM,,No spur!,
ocellata,,m,43480,135.57,19.58,11.79,6.96,5.24,17.7,10.88,9.45,,,San Diego Zoo,?,imm (some bones clearly unossified),San Diego NHM,,No spur!,Measurements probably OK
