Pit #,Length,Width,Depth
91,85.1,49,40.7
81,79,53.9,38.6
81,82.1,47.5,40.8
81,73.4,41.6,37.7
77,83.1,52.6,43.4
77,80.8,52.9,43.6
77,77.3,49.1,42.4
77,82.8,53.7,44.5
77,89.5,57.5,47.6
77,83.9,50.7,43.6
77,84.2,53.5,49.8
77,69.4,49.2,38.7
77,71.9,44.2,40.3
77,73.5,41.3,36.3
77,68.5,39.9,34.2
77,94.7,56.3,50.4
77,87.9,58.6,49.9
77,83.5,55.2,46.9
77,85.3,55.7,46.8
77,82.7,50.9,44.7
77,91.9,59.4,48.6
77,88.8,55.1,47.7
77,84.2,54.3,47
77,85.1,53.2,45.6
77,77.5,46.1,37.8
77,73,40.2,37
77,84.2,56.4,48.3
77,83.7,54.8,43.8
77,85.9,54.7,48
77,83.4,50.8,45.2
77,83.9,53.5,48.2
67,81.3,48.6,43.9
67,89.9,54.1,49.2
67,89.7,53.7,52.1
67,92,54.4,50.6
67,90.4,56.5,49.2
67,81.9,49.2,43.7
67,83.3,54.8,43.5
67,82.7,53.5,48.5
67,91.3,59,50.7
67,86.3,56.6,46.7
67,79.2,49.4,42.7
67,82.1,48.1,46.6
67,85.9,50.7,46.7
67,86.9,54,48.9
67,80.1,54.6,43.9
67,80,50.4,43.3
67,83.2,48.4,43.9
67,82.2,51.3,43.9
67,84.1,53.9,46.4
67,88.7,58.1,50.2
67,81.1,51.5,44.3
67,88,55.4,48.8
61,84.9,51.3,45.1
61,96.4,59.4,52
61,85.9,50.4,47.1
61,90.3,57.2,50.6
61,87.8,56.1,49.5
61,84.5,53.3,45.4
61,88.2,52.9,49.9
61,83.6,49.4,46.5
61,88.1,55.8,48.4
61,83.1,51.9,46.2
61,78.2,51.2,42.8
61,79.5,46.2,45.1
61,93.6,57.3,49.8
17,83.9,51.8,46.3
17,77.3,47.6,42.4
60,84,55.5,49.5
60,83.4,42.4,42.3
60,83.5,55.2,47.9
60,89.1,58.8,49.5
16,85.5,50.7,45.8
16,86.9,58.2,49.9
16,86.9,53,46.2
16,85.6,56.2,45.6
16,89.1,57,49.3
16,85.3,56.7,46.7
13,79.8,50,42
13,84.4,52.8,43.3
13,84.5,52.5,45.7
13,83.4,48,46.8
13,95.7,57,49.8
13,84.9,53.3,45.3
13,83.9,49.2,44.8
13,88.5,52.3,48.6
13,90.7,56.4,49.2
13,93.8,52.6,47.4
13,93.7,57.4,48.6
13,85,49.8,42.8
13,83.2,54.5,45.7
13,91.1,54.4,47.5
13,85.5,51.2,46.9
13,90.1,47.3,43.7
13,83.2,53.4,43.8
