PIT #,LENGTH,WIDTH,DEPTH
,97.1,56.4,40.4
,92.8,47.05,42.2
,95.1,54.3,41.6
,88.5,47.6,36.8
,94.8,54,40.7
77,111.26,61.6,47.6
77,108.5,61.7,51.1
77,101.7,57.7,43.9
77,102.6,64.6,45.4
,106.1,51.9,43.2
,102.4,51.6,44.1
,88.3,45.9,38
16,105.6,59.9,44.8
16,110.8,60.4,47.3
16,104.2,58.4,42.1
16,115.8,62.8,53.1
17,106.1,57.4,45.5
67,89.9,45.3,39
9,91.2,47,42.6
9,91.9,46.3,42.7
9,89.6,56.3,42.2
9,97.6,51.1,49.6
13,106.3,54.9,40.1
3,94.4,47.2,40.5
3,91.8,50.8,34.1
3,104.1,52.2,45.3
3,91.3,51.1,42.4
3,82.8,45.3,35.1
3,88.7,52.4,38.6
3,102.6,60.3,45.3
3,103.4,62.1,44.9
3,102.4,62.2,48.4
3,108.2,59,47.5
4,111.6,61.7,47.1
4,104.8,56.7,43.4
4,111.7,62.1,45.8
4,103.3,54.6,39.1
