Pit #,Length,Width,Depth
2,67.6,61.9,60.9
3,69.9,66.2,51.4
3,70.2,72.2,57.3
3,71.7,69.2,59.6
3,73.4,70.8,58.2
3,71.9,68.5,61.2
3,72.1,72.3,59.2
3,72.6,72.1,59.9
3,74.5,72.9,59.4
3,67.4,71,56
3,70.9,70.2,57.9
3,68.5,64.9,54.5
3,67.8,68.6,56.3
3,73.2,73.6,59.9
3,70.7,71.8,61.2
3,73.7,70.9,59.9
3,68.9,68.7,53.5
3,65.2,62.1,53.1
3,70.4,66,57.8
3,67.1,60.1,52
3,64.9,61.7,53.6
3,70.7,72.2,59.4
3,69.9,67.8,55.9
3,68.3,64.9,56.9
3,68.5,60.7,56.4
3,70.9,67.5,55.3
3,70.6,73.9,62.2
3,68.8,69.1,57.8
3,70.9,72.7,59.5
3,64.4,60.4,55.1
3,68.1,62.4,55.8
3,71.8,68.2,61.6
3,68.6,63.1,59
3,70.3,66.5,59.4
3,66.3,63.1,56.5
3,73.2,66.8,59.5
3,69.9,65.8,57.9
3,70.5,63.7,59.8
3,72.8,68.5,61
3,77.2,70.2,65.1
3,72.4,64.4,60.1
3,70.1,62.8,59.1
3,74,70.5,64.8
3,70.9,63.3,61.4
3,72.5,62.8,61.2
16,73.6,66.2,52.9
16,68.5,64.4,60.5
17,75.7,65.7,61.8
17,69.8,64.5,58.2
17,64.8,60.7,56.7
60,73.6,59.9,55.6
60,73.6,62.2,58.8
60,73.6,66.2,56.8
60,72.6,70,61.1
60,66.1,61.8,53.8
60,75,71.3,65.4
60,70.4,67,62.2
60,75.2,71.6,63.7
60,72.6,70.1,59.5
60,73.4,65.8,58.5
61,70.3,57.8,57.2
61,71,64.6,57.7
61,71.3,62.9,60.2
61,67.5,61.9,54.3
61,70.6,62.5,57.1
61,73.3,69.1,63.9
61,71.9,62.2,58.3
61,71.9,64.5,58.6
61,69.3,59.1,55.6
61,73.1,64.7,64.2
67,69.2,56.3,59.5
67,69.6,62.7,59.7
67,70.5,65.2,59.9
67,73.7,64.2,61.1
67,69.6,64.5,57.7
67,75.9,69.2,63.7
67,75.8,65.9,63.7
67,70.8,67.2,61.2
67,70.2,61.5,57.2
67,70,68,61.5
67,67.4,59.9,56.8
67,71.3,62.9,61.5
67,68.5,58.5,57.1
67,71,63.9,58.8
67,75,69.9,64
67,69.9,61.7,59.3
67,71.3,65.2,59.3
67,67.2,61.4,55.4
67,68.9,64.6,57.8
67,72.1,63,57.2
67,67.6,64.4,54.9
67,72.5,64.9,62.3
67,66.2,62.6,56.8
77,70.1,63.8,61
77,75.1,64.1,63.8
77,72.9,65.6,61.4
77,71.7,69.3,60.4
77,74.3,66.2,60.2
77,70.5,64.8,54.6
77,72,64.3,59.9
77,70.4,60.9,56.4
