Date,Max Length,Prox w,Prox d,Mids W,Mids d,Dist W,Dist d
10000,241,55,37,40,30,10,241
10000,241,58,38,39,30,10,241
10000,243,61,40,41,31,10,243
10000,252,60,38,39,30,10,252
10000,248,56,38,38,29,10,248
10000,260,58,37,33,27,10,260
10000,240,56,36,35,27,10,240
10000,250,61,38,42,31,10,250
10000,240,56,37,40,30,10,240
10000,267,65,42,41,32,10,267
10000,250,60,39,41,31,10,250
10000,252,55,38,35,28,10,252
10000,258,58,38,39,30,10,258
10000,252,60,40,40,30,10,252
10000,256,58,39,39,32,10,256
16000,248,58,36,39,29,16,248
"16,000",247,62,40,40,34,16,247
"16,000",243,56,35,41,31,16,243
"16,000",249,59,42,39,31,16,249
"16,000",248,62,40,38,30,16,248
"16,000",247,59,38,40,31,16,247
"16,000",246,57,38,35,29,16,246
"16,000",256,60,39,39,32,16,256
"16,000",254,57,39,43,33,16,254
"16,000",244,59,39,40,32,16,244
"16,000",260,60,43,40,33,16,260
"16,000",247,58,39,42,32,16,247
"16,000",251,57,36,40,31,16,251
"16,000",253,56,39,39,32,16,253
"16,000",239,55,37,37,28,16,239
"16,000",247,56,36,37,29,16,247
"16,000",265,60,36,39,29,16,265
"16,000",254,61,40,42,32,16,254
"16,000",246,46,40,39,30,16,246
"16,000",246,57,37,37,28,16,246
"16,000",250,58,39,39,32,16,250
"16,000",241,57,36,39,30,16,241
"16,000",243,60,38,41,29,16,243
"16,000",242,62,39,39,30,16,242
"16,000",248,58,38,38,31,16,248
"16,000",251,61,38,42,32,16,251
"16,000",255,59,37,43,33,16,255
"16,000",257,57,39,40,34,16,257
"16,000",250,57,38,38,30,16,250
"16,000",245,59,38,40,32,16,245
"16,000",236,61,40,40,33,16,236
"16,000",251,60,39,40,32,16,251
"16,000",253,59,38,40,32,16,253
"16,000",246,57,39,39,30,16,246
24000,249,65,44,43,32,24,249
24000,254,57,40,39,32,24,254
24000,247,51,34,39,30,24,247
24000,250,61,39,41,31,24,250
24000,254,59,37,40,31,24,254
30000,256,62,42,43,32,30,256
30000,244,61,42,43,32,30,244
30000,260,61,38,41,30,30,260
30000,255,63,41,43,31,30,255
32000,247,60,39,41,32,32,247
32000,256,57,38,37,30,32,256
32000,261,60,37,40,31,32,261
32000,260,57,37,40,32,32,260
32000,250,60,39,40,31,32,250
32000,251,59,39,36,29,32,251
32000,257,64,42,44,32,32,257
32000,252,61,40,41,32,32,252
32000,258,60,40,39,31,32,258
32000,257,63,41,45,34,32,257
32000,251,59,40,41,33,32,251
32000,252,57,39,34,29,32,252
32000,267,62,40,38,32,32,267
32000,257,61,39,43,32,32,257
32000,247,60,40,41,31,32,247
