PIT #,DV LENGTH,TRANS W,DEPTH
67,125,104,66
67,126,113,63
67,117,111,63
67,121,111,61
61,113,104,59
61,121,111,66
61,140,109,62
4,134,106,53
4,114,104,59
4,111,106,56
4,126,112,58
4,113,98,61
4,128,118,62
4,118,101,56
4,127,102,59
4,115,105,55
4,119,103,56
4,137,119,58
4,115,106,54
4,110,107,53
4,112,105,62
4,130,108,60
4,101,100,59
4,111,94,63
13,115,106,52
13,104,106,63
13,115,104,62
13,116,100,56
13,117,107,55
13,120,100,54
13,108,102,53
13,119,103,53
3,124,115,66
3,114,101,65
3,127,106,57
3,113,99,56
3,134,109,73
3,134,112,60
3,104,93,54
3,91,85,53
3,126,106,56
3,122,102,56
3,121,107,60
3,128,119,61
3,129,117,59
60,134,99,61
60,113,99,55
77,108,114,58
77,122,113,55
77,119,101,57
,114,103,59
,119,101,65
,112,104,57
,116,97,56
,110,99,61
