PitNo,MeanAge_uncal,SD_uncal,MaxAge_uncal,MinAge_uncal,Ndates,5%_calBP,50%_calBP,95%_calBP
3,15491,2899,12650,21400,16,12935.85,18499,23802.1
4,23804,7142,12760,36000,14,16184.75,27435.5,38293.1
10,9990,5285,5270,15700,3,2961.5,11867.5,21260
13,14980,482,14310,15360,4,17180.95,18179,19052.05
16,22178,9000,12275,32850,4,11256.7,25199,38442.15
60,25248,1874,23420,28850,6,26460.8,29367,32432.1
61-67,10885,2248,6360,12200,6,8417.6,12798.5,17377.05
77,30687,2479,28200,33100,3,31000.95,34844,39157.55
81,14415,3250,17665,11165,1,10779.9,17107,23278.2
91,29890,5948,14040,44650,55,24974.95,34023.5,42210.25
2051,23019,4095,13950,31000,26,20116.8,26923,33117.05
