"","x"
"1","Asio"
LENGTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 23 45.2565217391304 1.480425641176 30.5699391312758
"21" 1 42.4 NA NA
"18" 47 44.1787234042553 1.65120985554503 26.7553656223018
"16" 1 43.2 NA NA
"14" 11 44.4545454545455 1.34042055815601 33.1646252245643
"11" 3 45.1333333333333 1.43643076176102 31.4204725593605
"9" 74 44.3972972972973 1.76441017914389 25.1626848575762
"0" 8 44.2875 1.69910690826513 26.065163872013
WIDTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 23 4.71304347826087 0.373319687309424 12.6246850580759
"21" 1 5 NA NA
"18" 47 4.54468085106383 0.294742710673075 15.4191458736523
"16" 1 5.2 NA NA
"14" 11 4.6 0.3286335345031 13.9973542473542
"11" 3 5 0.0999999999999996 50.0000000000002
"9" 74 4.59594594594595 0.241819127011945 19.0057172182204
"0" 8 4.5125 0.344082631271701 13.1145823412306
DEPTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 23 3.35652173913043 0.304251819978902 11.0320514742137
"21" 1 3 NA NA
"18" 47 3.28723404255319 0.328777062881188 9.99836793280532
"16" 1 3.6 NA NA
"14" 11 3.22727272727273 0.205382127220988 15.7135032679851
"11" 3 3.36666666666667 0.208166599946613 16.1729435343138
"9" 74 3.22702702702703 0.268581916433099 12.0150569698941
"0" 8 3.4625 0.130247018062932 26.5841018972658
