LENGTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 1 43.2 NA NA
"18" 2 47.65 0.212132034355962 224.624254156929
"16" 3 47.7333333333333 1.36503968196288 34.9684584001941
"14" 11 46.4 1.77031070719239 26.2100883260136
"11" 2 46.75 0.494974746830585 94.4492629156313
"9" 2 45.5 0.424264068711924 107.244528479961
"0" 13 46.4384615384615 2.42436880498081 19.1548668020537
WIDTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 1 3 NA NA
"18" 2 2.4 0 Inf
"16" 3 2.83333333333333 0.288675134594813 9.81495457622364
"14" 11 2.5 0.228035085019828 10.9632252413379
"11" 2 2.55 0.0707106781186548 36.0624458405139
"9" 2 2.3 0.282842712474619 8.1317279836453
"0" 13 1.78461538461538 0.66938548167474 2.66605033044703
DEPTH
"Age.ka" "N" "Mean" "SD" "CV"
"29" 1 2.8 NA NA
"18" 2 2.95 0.212132034355964 13.9064333633354
"16" 3 2.66666666666667 0.152752523165195 17.4574312188794
"14" 11 2.80909090909091 0.333030165163895 8.43494434718389
"11" 2 3 0 Inf
"9" 2 2.5 0 Inf
"0" 13 2.32307692307692 0.589001763089956 3.94409162867332
