,LENGTH,,WIDTH,,DEPTH,,ROBUSTNESS,,,,,,,,,
,U,p,U,p,M-W U,p,M-W U,p,,,,,,,,
29,624.5,0.0784,597.5,0.1446,692,0.0103,639.5,0.0529,,,,,,,,
18,630,0.0594,823.5,0.852,652,0.0891,733,0.3273,,,,,,,,
14,187.5,0.2213,59,0.1032,152,0.6631,96,0.4301,,,,,,,,
9,1090.5,0.272,905.5,0.6703,626,0.0061*,596.5,0.003*,,,,,,,,
0,504.5,0.2065,651.5,0.8208,915,0.0035*,972,0.0005,,,,29ka,18ka,14ka,9ka,Recent
,,,,,,,,,,DEPTH,M-W U,692,652,152,626,915
,,,,,,,,,,,p,0.0103,0.0891,0.6631,0.0061*,0.0035*
,,,,,,,,,,ROBUSTNESS,M-W U,639.5,733,96,596.5,972
,,,,,,,,,,,p,0.0529,0.3273,0.4301,0.003*,0.0005
