AGE,LENGTH,WIDTH,DEPTH
9,43.6,4.1,4
9,42.2,4.5,4
9,44.2,4,4.5
9,42.1,4.8,4.3
9,45,4.2,4.8
9,42.8,3.7,4.5
9,42.6,3.5,3.1
9,41.2,4.5,3.3
9,46.5,4.7,4.5
9,44.3,4.3,3.9
9,47.5,3.6,4.1
9,44.7,4,4.8
9,49.5,4.1,5.9
9,48.5,4.5,4.8
9,44.3,3.9,4.3
9,45.9,4,3.9
9,45.8,3.6,3.5
9,41.9,3.7,3.8
9,48.4,4.3,4.6
9,49.2,3.9,5.3
9,48.6,4.8,4.9
9,44,3.9,4.4
9,49.2,4.2,4.1
9,48.4,4.3,5
9,46,4.3,4.1
9,44,4.5,4.7
9,45.7,4,3.9
9,46.7,4.5,4.5
9,46.5,4.1,4.5
9,49.1,4,3.8
9,42.8,4,4.3
9,45.7,3.7,4.5
9,47,4.5,4.1
9,48,4.1,5.3
9,48,4.6,4.4
9,49.1,4.9,4.8
9,47.4,4.5,4.3
9,47.3,4.3,4.5
9,41.8,4,4.5
9,47.4,4.2,4.6
9,46,3.7,4.1
9,46.7,4.1,3.6
9,50.6,5.7,5.5
9,46.2,3.3,4.2
9,49.2,4.3,4.4
9,44.8,4.3,3.8
9,46.7,4,4.6
9,46,3.9,4.3
9,46.6,4.3,5
9,46.6,3.2,4.1
9,48.2,5,4.2
9,49.7,4.8,4.6
9,48.7,4.4,5.1
9,44.3,4.3,4.2
9,47.3,4.3,3.9
9,47.2,3.7,3.3
9,42.1,3.6,3.9
9,44.5,4.5,3.7
9,44,4.2,3.4
9,47.6,4.2,3.6
9,48.4,3.9,4.5
9,46.9,4.2,4.2
11,46.3,4.2,3.3
11,48,3.9,4.3
11,49.4,4.2,4.6
11,42.5,3.9,4.1
11,47.2,5.5,4.3
11,44.2,4,3.8
11,45.1,3.7,4.4
14,42.8,4.3,5
14,44.2,4,4.7
14,49.5,5.7,4.8
14,47.2,4,4.8
14,47.5,4.5,4.4
14,43.5,4.2,4.3
14,45.6,3.8,4.6
14,42,3.8,4.3
14,49,4.1,5
14,45.8,4.8,3.7
14,46,4.2,4.8
14,43.2,4,4.5
14,42.6,3.7,4.5
14,45.2,4,5.3
14,45.8,3.7,4.8
14,46.9,3.6,3.8
14,46.6,4.1,5.1
14,44.3,3.6,4.5
14,45.2,3.9,5
14,44.3,4.3,5
14,42.9,3.7,4.9
14,45.7,4.3,5.7
14,45.8,3.9,5.1
14,50.8,3.6,4.9
14,49,4.1,4.5
14,46.7,3.7,4.9
14,48.5,4.1,3.9
14,44.5,4,4.5
14,49,4.2,5.2
14,45.2,4.2,3.3
14,47.5,4,5
14,44.7,4.3,4.5
16,41.8,4.4,3.5
16,49.3,4.8,5.7
16,47.3,3.9,4.4
16,50.2,3.9,5.4
16,46.2,5.9,4.8
16,41.9,4.1,5.4
18,51,5,5.5
18,45.6,4.3,5
18,45.7,4,4.3
18,49.3,3.5,3.8
18,46,3.6,3.4
18,45.6,4.2,5.1
18,46.7,3.7,4.8
18,47,4.1,4.4
18,47.2,3.5,4.7
18,47.5,3.8,4
18,43.6,3.7,5
18,43.7,4.5,4.4
18,44.7,4.3,4.7
21,49,4,4.9
29,39.6,3.8,4.5
29,39.9,3.9,3.2
29,42.6,4.2,4
29,42,3.6,4.5
29,44.6,4.2,4.3
29,47.7,4,4.7
29,45,3.7,4.6
29,46.7,3.8,4.3
29,58.3,4.6,4.7
0,63,4.8,5.5
0,66.4,5.5,5.9
0,67,5.2,4.9
0,66.5,5,6
0,66.1,5.1,5
0,67,5.1,5.1
0,66,5.1,5.7
