,Length,U,Length,p,Width,U,Width,p,Depth,U,Depth,p,Robustness,U,Robustness,p
29,371.5,0.0492,455.5,0.1994,492.5,0.3283,522,0.4633,,,,,,,,
21,111.5,0.3514,59,0.7643,108,0.3952,79,0.8766,,,,,,,,
18,811.5,0.7502,686,0.2334,908,0.7313,897,0.7899,,,,,,,,
16,394,0.8232,528,0.2708,558.5,0.1606,590,0.0868,,,,,,,,
14,1448,0.0865,1557.5,0.2315,2261,0.0306,2253,0.0341,,,,,,,,
11,439.5,0.6916,458,0.8205,265.5,0.0448,355,0.2396,,,,,,,,
9,2272,0.2297,2938,0.1436,1604,0.0001,2479,0.7086,,,,,,,,
0,1950,0*,1116,0.3598,1600.5,0*,623,0.0225,,,,,,,,
,,,,,,,,,,,,,,,,
,,Age,,,,,,,,,,,,,,
,,29,21,18,16,14,11,9,0,,,,,,,
Length,U,371.5,111.5,811.5,394,1448,439.5,2272,1950,,,,,,,
,p,0.0492,0.3514,0.7502,0.8232,0.0865,0.6916,0.2297,0*,,,,,,,
Depth,U,492.5,108,908,558.5,2261,265.5,1604,1600.5,,,,,,,
,p,0.3283,0.3952,0.7313,0.1606,0.0306,0.0448,0.0001,0*,,,,,,,
