,Length U,Length p,Width U,Width p,Depth U,Depth p,Robustness U,Robustness p
29,151,0.28,312,0.0037*,291,0.0174,315,0.003*
18,80,0.1386,202.5,0.0252,150.5,0.5202,190.5,0.0628
14,67,0.3239,66,0.3474,57,0.6298,55,0.7047
9,251,0.9394,309.5,0.239,341,0.0626,329.5,0.1084
0,341,0.1025,0,0*,50.5,0*,0,0*
,,,,,,,,
,,,,,,,,
,,Age,,,,,,
,,29,18,14,9,0,,
Width,U,312,202.5,66,309.5,0,,
,p,0.0037*,0.0252,0.3474,0.239,0*,,
Depth,U,291,150.5,57,341,50.5,,
,p,0.0174,0.5202,0.6298,0.0626,0*,,
Robustness,U,315,190.5,55,329.5,0,,
,p,0.003*,0.0628,0.7047,0.1084,0*,,
