Species,Institution,Catalog #,Pit,Age,Length,Width,Depth
Corvus corax,AMNH,NR,NA,0,63,4.8,5.5
Corvus corax,AMNH,NR,NA,0,66.4,5.5,5.9
Corvus corax,AMNH,NR,NA,0,67,5.2,4.9
Corvus corax,AMNH,NR,NA,0,66.5,5,6
Corvus corax,AMNH,NR,NA,0,66.1,5.1,5
Corvus corax,AMNH,NR,NA,0,67,5.1,5.1
Corvus corax,AMNH,NR,NA,0,66,5.1,5.7
Corvus corax,UCMVZ,NR,NA,0,66.4,3.9,4.5
Corvus corax,UCMVZ,NR,NA,0,67.1,3.9,4.7
Corvus corax,UCMVZ,NR,NA,0,68.1,3.7,4.5
Corvus corax,UCMVZ,NR,NA,0,66.3,3.6,4.5
Corvus corax,UCMVZ,NR,NA,0,61.8,3.8,5.2
Corvus corax,UCMVZ,NR,NA,0,62.3,3.8,5.1
Corvus corax,UCMVZ,NR,NA,0,65.8,4,5.2
Corvus corax,UCMVZ,NR,NA,0,66,3.8,4.9
Corvus corax,LBTPM,G5026,10,9,43.6,4.1,4
Corvus corax,LBTPM,G5031,10,9,42.2,4.5,4
Corvus corax,LBTPM,G5033,10,9,44.2,4,4.5
Corvus corax,LBTPM,G5034,10,9,42.1,4.8,4.3
Corvus corax,LBTPM,G5039,10,9,45,4.2,4.8
Corvus corax,LBTPM,G5040,10,9,42.8,3.7,4.5
Corvus corax,LBTPM,G5111,10,9,42.6,3.5,3.1
Corvus corax,LBTPM,G6316,10,9,41.2,4.5,3.3
Corvus corax,LBTPM,G4990,10,9,46.5,4.7,4.5
Corvus corax,LBTPM,G4992,10,9,44.3,4.3,3.9
Corvus corax,LBTPM,G4993,10,9,47.5,3.6,4.1
Corvus corax,LBTPM,G4994,10,9,44.7,4,4.8
Corvus corax,LBTPM,G4999,10,9,49.5,4.1,5.9
Corvus corax,LBTPM,G5001,10,9,48.5,4.5,4.8
Corvus corax,LBTPM,G5003,10,9,44.3,3.9,4.3
Corvus corax,LBTPM,G5004,10,9,45.9,4,3.9
Corvus corax,LBTPM,G5007,10,9,45.8,3.6,3.5
Corvus corax,LBTPM,G5008,10,9,41.9,3.7,3.8
Corvus corax,LBTPM,G5018,10,9,48.4,4.3,4.6
Corvus corax,LBTPM,G5019,10,9,49.2,3.9,5.3
Corvus corax,LBTPM,G5020,10,9,48.6,4.8,4.9
Corvus corax,LBTPM,G5021,10,9,44,3.9,4.4
Corvus corax,LBTPM,G5022,10,9,49.2,4.2,4.1
Corvus corax,LBTPM,G5023,10,9,48.4,4.3,5
Corvus corax,LBTPM,G5024,10,9,46,4.3,4.1
Corvus corax,LBTPM,G4995,10,9,44,4.5,4.7
Corvus corax,LBTPM,G4996,10,9,45.7,4,3.9
Corvus corax,LBTPM,G4997,10,9,46.7,4.5,4.5
Corvus corax,LBTPM,G4998,10,9,46.5,4.1,4.5
Corvus corax,LBTPM,G5000,10,9,49.1,4,3.8
Corvus corax,LBTPM,G5002,10,9,42.8,4,4.3
