Class,Order,Genus,Species,Folder,Filename,Extant,Size_mean,Diet
Mammalia,Carnivora,Canis,dirus,carnivorans,Canis_dirus.xlsx,F,,
Mammalia,Carnivora,Felis,concolor,carnivorans,Felis_concolor.xlsx,T,,
Mammalia,Carnivora,Lynx,rufus,carnivorans,Lynx_rufus.xlsx,T,,
Mammalia,Carnivora,Panthera,atrox,carnivorans,Panthera_atrox.xlsx,F,,
Mammalia,Carnivora,Smilodon,fatalis,carnivorans,Smilodon.xlsx,F,,
Mammalia,Artiodactyla,Bison,antiquus,herbivores,Bison_antiquus.xlsx,F,,
Mammalia,Artiodactyla,Camelops,hesternus,herbivores,Camelops.xlsx,F,,
Mammalia,Artiodactyla,Equus,occidentalis,herbivores,Equus.xlsx,F,,
Mammalia,Xenarthra,Paramylodon,harlani,herbivores,Paramylodon.xlsx,F,,
Aves,Accipitriformes,Aquila,chrysaetos,largebirds,Aquila.xlsx,T,,
Aves,Accipitriformes,Buteo,jamaicensis,largebirds,B.jamaicensis.xlsx,T,,
Aves,Accipitriformes,Buteo,swainsoni,largebirds,B.swainsoni.xlsx,T,,
Aves,Falconiformes,Caracara,cheriway,largebirds,Caracara.xlsx,F,,
Aves,Cathartiformes,Coragyps,occidentalis,largebirds,Coragyps.xlsx,F,,
Aves,Cathartiformes,Gymnogyps,amplus,largebirds,G.amplus.xlsx,F,,
Aves,Cathartiformes,Gymnogyps,californianus,largebirds,G.californianus.xlsx,T,,
Aves,Accipitriformes,Haliaeetus,leucocephalus,largebirds,Haliaeetus.xlsx,T,,
Aves,Galliformes,Meleagris,californica,largebirds,M.californica.xlsx,F,,
Aves,Accipitriformes,Neophrontops,americanus,largebirds,Neophrontops.xlsx,F,,
Aves,Cathartiformes,Teratornis,merriami,largebirds,Teratornis.xlsx,F,,
Aves,Strigiformes,Asio,flammeus,smallbirds,Asio.xlsx,T,,
Aves,Strigiformes,Athene,cunicularia,smallbirds,Athene.xlsx,T,,
Aves,Strigiformes,Bubo,virginianus,smallbirds,Bubo.xlsx,T,,
Aves,Passeriformes,Corvus,corax,smallbirds,Corvus.xlsx,T,,
Aves,Passeriformes,Pica,nuttalli,smallbirds,Pica.xlsx,T,,
Aves,Passeriformes,Sturnella,neglecta,smallbirds,Sturnella.xlsx,T,,
Aves,Strigiformes,Tyto,alba,smallbirds,Tyto.xlsx,T,,
